scholarship_name,provider,field,state,Gender,Community,Religion,Education Qualification,Income,Annual-Percentage,amount,deadline,apply_link,eligible
Backward Class Merit Award 1409,Zilla Parishad,Computer Science,Jharkhand,All,All,Sikh,Class 10,No Limit,50-60,"Rs 20,000/year",9/29,https://scholarships.gov.in,1
BPL Student Aid 1410,Trust Fund,All,Meghalaya,Female,All,Christian,Postgraduate,No Limit,70-80,"Rs 40,000/year",10/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1411,NGO Foundation,Computer Science,Tripura,Female,ST,Hindu,Diploma,No Limit,80-90,"Rs 15,000/year",9/29,https://scholarships.gov.in,1
Rural Student Scholarship 1412,Zilla Parishad,Engineering,West Bengal,Female,ST,Christian,Postgraduate,Upto 3.5L,90-100,"Rs 3,000/year",10/31,https://scholarships.gov.in,1
Best Student Award Scholarship 1413,Trust Fund,Arts/Commerce,Kerala,Female,ST,Buddhist,Postgraduate,Upto 5L,90-100,"Rs 10,000/year",11/30,https://scholarships.gov.in,1
BPL Student Aid 1414,State Education Board,Computer Science,Bihar,All,All,Sikh,Class 12,Upto 3.5L,Above 60,"Rs 60,000/year",9/28,https://scholarships.gov.in,1
Backward Class Merit Award 1415,Trust Fund,Education,Tripura,Male,All,Sikh,Class 12,Upto 2.5L,80-90,"Rs 30,000/year",11/31,https://scholarships.gov.in,1
Sports & Academics Scholarship 1416,Zilla Parishad,All,Bihar,All,All,Sikh,Class 10,No Limit,80-90,"Rs 60,000/year",12/28,https://scholarships.gov.in,1
Single Parent Child Scholarship 1417,Zilla Parishad,Law,Goa,All,OBC,Muslim,Class 10,Upto 5L,80-90,"Rs 25,000/year",10/31,https://scholarships.gov.in,1
Best Student Award Scholarship 1418,Zilla Parishad,Law,Punjab,Female,All,All,Class 12,Upto 3.5L,Above 60,"Rs 2,000/year",12/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1419,NGO Foundation,Science,Assam,Male,ST,Christian,Diploma,Upto 2.5L,60-70,"Rs 50,000/year",10/30,https://scholarships.gov.in,1
Academic Excellence Grant 1420,District Collector Office,Journalism,Maharashtra,Male,Minority,Hindu,Undergraduate,Upto 3.5L,90-100,"Rs 12,000/year",12/30,https://scholarships.gov.in,1
Women in STEM Scholarship 1421,Trust Fund,Education,Delhi,Male,General,All,Postgraduate,Upto 2.5L,Above 75,"Rs 30,000/year",9/28,https://scholarships.gov.in,1
Backward Class Merit Award 1422,Zilla Parishad,Biotechnology,Arunachal Pradesh,Female,Minority,All,Class 12,No Limit,50-60,"Rs 12,000/year",11/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1423,Trust Fund,Management,Jammu & Kashmir,Male,OBC,Muslim,Class 10,Upto 3.5L,Above 75,"Rs 15,000/year",11/28,https://scholarships.gov.in,1
Women in STEM Scholarship 1424,Trust Fund,All,Maharashtra,Female,OBC,Buddhist,Undergraduate,Upto 2.5L,80-90,"Rs 75,000/year",11/29,https://scholarships.gov.in,1
Academic Excellence Grant 1425,NGO Foundation,Arts/Commerce,Mizoram,All,All,All,Diploma,Upto 2.5L,80-90,"Rs 1,500/year",11/29,https://scholarships.gov.in,1
Backward Class Merit Award 1426,District Collector Office,Pharmacy,Arunachal Pradesh,All,ST,Jain,Diploma,Upto 8L,90-100,"Rs 1,000/year",10/31,https://scholarships.gov.in,1
District Topper Scholarship 1427,District Collector Office,Law,Punjab,All,EWS,Sikh,Undergraduate,No Limit,Above 75,"Rs 5,000/year",9/28,https://scholarships.gov.in,1
Women in STEM Scholarship 1428,State Education Board,Management,Gujarat,Female,OBC,All,Diploma,Upto 1L,60-70,"Rs 15,000/year",9/28,https://scholarships.gov.in,1
BPL Student Aid 1429,Trust Fund,Law,Gujarat,Male,OBC,Buddhist,Class 12,Upto 2.5L,80-90,"Rs 2,000/year",12/29,https://scholarships.gov.in,1
First Generation Learner Award 1430,District Collector Office,Architecture,Tripura,Female,EWS,Buddhist,Postgraduate,Upto 3.5L,Above 60,"Rs 5,000/year",9/30,https://scholarships.gov.in,1
Academic Excellence Grant 1431,NGO Foundation,Management,Assam,All,Minority,Christian,Diploma,Upto 2.5L,70-80,"Rs 75,000/year",12/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1432,District Collector Office,Law,West Bengal,Female,All,All,Diploma,Upto 2.5L,50-60,"Rs 18,000/year",11/28,https://scholarships.gov.in,1
Sports & Academics Scholarship 1433,District Collector Office,Education,Arunachal Pradesh,Male,OBC,Hindu,PhD,Upto 3.5L,Above 60,"Rs 25,000/year",10/31,https://scholarships.gov.in,1
Academic Excellence Grant 1434,State Education Board,Engineering,Rajasthan,Male,SC,Christian,Class 10,Upto 8L,60-70,"Rs 12,000/year",10/28,https://scholarships.gov.in,1
Academic Excellence Grant 1435,Trust Fund,Medical,Andhra Pradesh,All,EWS,Buddhist,Class 10,Upto 1L,80-90,"Rs 20,000/year",11/29,https://scholarships.gov.in,1
Rural Student Scholarship 1436,NGO Foundation,Arts/Commerce,Madhya Pradesh,All,OBC,Jain,Class 12,Upto 3.5L,50-60,"Rs 2,500/year",9/30,https://scholarships.gov.in,1
Backward Class Merit Award 1437,District Collector Office,Engineering,Tamil Nadu,Female,General,Hindu,Diploma,Upto 5L,50-60,"Rs 50,000/year",11/29,https://scholarships.gov.in,1
Women in STEM Scholarship 1438,District Collector Office,Education,Bihar,All,General,All,PhD,Upto 2.5L,80-90,"Rs 25,000/year",9/29,https://scholarships.gov.in,1
Sports & Academics Scholarship 1439,NGO Foundation,Arts/Commerce,Madhya Pradesh,All,EWS,Christian,PhD,Upto 2.5L,80-90,"Rs 25,000/year",12/28,https://scholarships.gov.in,1
Rural Student Scholarship 1440,NGO Foundation,Management,Delhi,Male,All,Muslim,Undergraduate,Upto 5L,80-90,"Rs 35,000/year",9/30,https://scholarships.gov.in,1
BPL Student Aid 1441,District Collector Office,Agriculture,Kerala,Male,All,Buddhist,Class 10,Upto 5L,90-100,"Rs 3,000/year",12/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1442,District Collector Office,Agriculture,Uttar Pradesh,Female,All,Christian,Postgraduate,Upto 5L,90-100,"Rs 35,000/year",12/30,https://scholarships.gov.in,1
Rural Student Scholarship 1443,NGO Foundation,Arts/Commerce,Kerala,Female,SC,Hindu,Undergraduate,Upto 8L,90-100,"Rs 30,000/year",9/28,https://scholarships.gov.in,1
Single Parent Child Scholarship 1444,Trust Fund,Biotechnology,West Bengal,Female,OBC,Jain,Class 10,Upto 3.5L,60-70,"Rs 10,000/year",11/31,https://scholarships.gov.in,1
Best Student Award Scholarship 1445,Zilla Parishad,Journalism,Nagaland,Female,All,Muslim,PhD,Upto 3.5L,Above 75,"Rs 5,000/year",10/31,https://scholarships.gov.in,1
Rural Student Scholarship 1446,State Education Board,Arts/Commerce,Assam,Female,ST,Buddhist,Class 12,Upto 3.5L,50-60,"Rs 25,000/year",11/28,https://scholarships.gov.in,1
Rural Student Scholarship 1447,State Education Board,Journalism,Haryana,Female,SC,Buddhist,Class 12,Upto 5L,50-60,"Rs 18,000/year",10/31,https://scholarships.gov.in,1
Backward Class Merit Award 1448,Zilla Parishad,Education,Karnataka,All,OBC,Sikh,Undergraduate,Upto 8L,60-70,"Rs 3,000/year",10/30,https://scholarships.gov.in,1
Rural Student Scholarship 1449,NGO Foundation,Architecture,Himachal Pradesh,All,General,Christian,Diploma,Upto 5L,90-100,"Rs 35,000/year",12/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1450,District Collector Office,Science,Meghalaya,Female,All,Christian,Undergraduate,Upto 1L,80-90,"Rs 20,000/year",12/31,https://scholarships.gov.in,1
Rural Student Scholarship 1451,State Education Board,All,Punjab,All,ST,Christian,Class 10,No Limit,90-100,"Rs 20,000/year",12/30,https://scholarships.gov.in,1
Rural Student Scholarship 1452,Trust Fund,Arts/Commerce,Assam,Female,EWS,Buddhist,Undergraduate,Upto 8L,Above 60,"Rs 25,000/year",10/29,https://scholarships.gov.in,1
Sports & Academics Scholarship 1453,NGO Foundation,Pharmacy,Telangana,All,OBC,Muslim,Diploma,Upto 3.5L,90-100,"Rs 25,000/year",12/29,https://scholarships.gov.in,1
First Generation Learner Award 1454,NGO Foundation,Biotechnology,Tamil Nadu,Male,OBC,Buddhist,Postgraduate,Upto 2.5L,60-70,"Rs 60,000/year",10/28,https://scholarships.gov.in,1
BPL Student Aid 1455,State Education Board,Computer Science,Jharkhand,All,EWS,Christian,Undergraduate,Upto 8L,Above 60,"Rs 60,000/year",11/31,https://scholarships.gov.in,1
Academic Excellence Grant 1456,Zilla Parishad,Agriculture,Arunachal Pradesh,Male,EWS,Hindu,Diploma,Upto 3.5L,90-100,"Rs 10,000/year",9/28,https://scholarships.gov.in,1
Single Parent Child Scholarship 1457,Trust Fund,Law,Gujarat,Male,ST,Sikh,Class 10,Upto 8L,50-60,"Rs 18,000/year",12/28,https://scholarships.gov.in,1
First Generation Learner Award 1458,Trust Fund,Management,Delhi,All,OBC,Buddhist,PhD,Upto 8L,90-100,"Rs 6,000/year",12/31,https://scholarships.gov.in,1
Academic Excellence Grant 1459,State Education Board,Pharmacy,Uttarakhand,All,OBC,Sikh,Diploma,No Limit,Above 75,"Rs 20,000/year",9/30,https://scholarships.gov.in,1
Women in STEM Scholarship 1460,NGO Foundation,Architecture,Telangana,Male,General,All,Postgraduate,Upto 2.5L,60-70,"Rs 75,000/year",9/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1461,Trust Fund,Engineering,Uttar Pradesh,All,OBC,Jain,Postgraduate,Upto 5L,60-70,"Rs 3,000/year",11/28,https://scholarships.gov.in,1
Backward Class Merit Award 1462,Zilla Parishad,Architecture,Kerala,Female,SC,Muslim,Class 10,Upto 2.5L,70-80,"Rs 8,000/year",9/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1463,District Collector Office,Architecture,Delhi,All,EWS,Jain,PhD,Upto 5L,50-60,"Rs 60,000/year",12/29,https://scholarships.gov.in,1
Best Student Award Scholarship 1464,Trust Fund,Pharmacy,Telangana,Male,EWS,Sikh,PhD,Upto 3.5L,50-60,"Rs 50,000/year",9/31,https://scholarships.gov.in,1
District Topper Scholarship 1465,State Education Board,Architecture,Bihar,Female,General,Christian,PhD,Upto 8L,50-60,"Rs 1,000/year",11/31,https://scholarships.gov.in,1
District Topper Scholarship 1466,District Collector Office,Pharmacy,Maharashtra,All,EWS,Sikh,Undergraduate,No Limit,Above 75,"Rs 50,000/year",12/31,https://scholarships.gov.in,1
BPL Student Aid 1467,Trust Fund,Management,Nagaland,All,OBC,Sikh,Diploma,No Limit,80-90,"Rs 8,000/year",9/31,https://scholarships.gov.in,1
Women in STEM Scholarship 1468,Trust Fund,Law,Gujarat,Male,ST,Sikh,Postgraduate,Upto 1L,Above 75,"Rs 12,000/year",9/28,https://scholarships.gov.in,1
Backward Class Merit Award 1469,NGO Foundation,Journalism,Goa,Male,OBC,All,Class 10,Upto 5L,60-70,"Rs 50,000/year",10/31,https://scholarships.gov.in,1
Women in STEM Scholarship 1470,State Education Board,Education,Himachal Pradesh,Male,General,Sikh,Undergraduate,Upto 8L,50-60,"Rs 8,000/year",9/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1471,District Collector Office,Design,Nagaland,Female,General,Muslim,Postgraduate,Upto 3.5L,60-70,"Rs 25,000/year",12/29,https://scholarships.gov.in,1
Academic Excellence Grant 1472,Trust Fund,Pharmacy,Madhya Pradesh,All,All,Hindu,Postgraduate,No Limit,60-70,"Rs 35,000/year",10/28,https://scholarships.gov.in,1
Backward Class Merit Award 1473,Zilla Parishad,All,Madhya Pradesh,Female,Minority,Buddhist,Class 12,Upto 1L,70-80,"Rs 8,000/year",11/30,https://scholarships.gov.in,1
Academic Excellence Grant 1474,State Education Board,Computer Science,Manipur,Male,All,Christian,Class 12,No Limit,60-70,"Rs 10,000/year",12/29,https://scholarships.gov.in,1
BPL Student Aid 1475,NGO Foundation,Pharmacy,Andhra Pradesh,Male,General,Jain,Postgraduate,No Limit,50-60,"Rs 1,000/year",11/29,https://scholarships.gov.in,1
Rural Student Scholarship 1476,Zilla Parishad,Medical,Jharkhand,All,EWS,All,Postgraduate,Upto 1L,50-60,"Rs 50,000/year",11/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1477,Trust Fund,Science,Odisha,Female,Minority,Sikh,Class 10,Upto 3.5L,70-80,"Rs 5,000/year",11/29,https://scholarships.gov.in,1
BPL Student Aid 1478,Trust Fund,All,Bihar,All,All,Hindu,PhD,Upto 2.5L,80-90,"Rs 20,000/year",10/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1479,NGO Foundation,Arts/Commerce,Haryana,All,OBC,Hindu,Postgraduate,No Limit,80-90,"Rs 8,000/year",11/30,https://scholarships.gov.in,1
Women in STEM Scholarship 1480,State Education Board,Law,Arunachal Pradesh,Female,Minority,All,Diploma,Upto 3.5L,50-60,"Rs 15,000/year",10/31,https://scholarships.gov.in,1
Sports & Academics Scholarship 1481,State Education Board,Medical,Sikkim,All,OBC,Christian,Diploma,Upto 1L,Above 75,"Rs 6,000/year",10/29,https://scholarships.gov.in,1
Best Student Award Scholarship 1482,State Education Board,Medical,Odisha,All,Minority,Sikh,Diploma,No Limit,70-80,"Rs 10,000/year",12/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1483,District Collector Office,Architecture,Manipur,All,OBC,Christian,Diploma,Upto 2.5L,60-70,"Rs 5,000/year",12/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1484,District Collector Office,Science,Maharashtra,Female,EWS,Hindu,Undergraduate,Upto 1L,50-60,"Rs 1,500/year",11/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1485,State Education Board,Medical,Sikkim,All,OBC,Jain,Postgraduate,Upto 3.5L,80-90,"Rs 60,000/year",12/31,https://scholarships.gov.in,1
Women in STEM Scholarship 1486,District Collector Office,Medical,Chhattisgarh,All,OBC,Muslim,Postgraduate,Upto 2.5L,Above 75,"Rs 5,000/year",9/30,https://scholarships.gov.in,1
Backward Class Merit Award 1487,Zilla Parishad,Engineering,Odisha,Female,General,Buddhist,Class 12,Upto 2.5L,60-70,"Rs 50,000/year",11/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1488,State Education Board,Management,West Bengal,Female,ST,Jain,Class 10,Upto 1L,50-60,"Rs 40,000/year",9/31,https://scholarships.gov.in,1
Academic Excellence Grant 1489,Trust Fund,Science,Gujarat,Male,All,Jain,Class 12,Upto 3.5L,Above 75,"Rs 15,000/year",10/29,https://scholarships.gov.in,1
BPL Student Aid 1490,Zilla Parishad,Arts/Commerce,Mizoram,All,SC,Sikh,Postgraduate,Upto 1L,80-90,"Rs 60,000/year",12/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1491,State Education Board,Arts/Commerce,Delhi,All,ST,Christian,Class 12,Upto 8L,80-90,"Rs 10,000/year",9/29,https://scholarships.gov.in,1
First Generation Learner Award 1492,Zilla Parishad,Computer Science,Delhi,Male,SC,Hindu,Undergraduate,Upto 2.5L,50-60,"Rs 6,000/year",11/30,https://scholarships.gov.in,1
First Generation Learner Award 1493,NGO Foundation,Agriculture,Delhi,Male,SC,Sikh,PhD,Upto 8L,Above 60,"Rs 6,000/year",12/31,https://scholarships.gov.in,1
Backward Class Merit Award 1494,Zilla Parishad,Agriculture,Madhya Pradesh,Female,Minority,Muslim,Undergraduate,Upto 5L,Above 60,"Rs 2,000/year",10/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1495,Trust Fund,Medical,Jharkhand,All,ST,Buddhist,Diploma,No Limit,Above 60,"Rs 3,000/year",11/30,https://scholarships.gov.in,1
First Generation Learner Award 1496,Trust Fund,Agriculture,Telangana,All,EWS,All,Class 10,Upto 8L,80-90,"Rs 60,000/year",10/31,https://scholarships.gov.in,1
Rural Student Scholarship 1497,Zilla Parishad,Arts/Commerce,Punjab,Female,OBC,Buddhist,Class 10,Upto 5L,60-70,"Rs 20,000/year",11/30,https://scholarships.gov.in,1
First Generation Learner Award 1498,NGO Foundation,Biotechnology,Haryana,All,General,Buddhist,Class 12,Upto 3.5L,60-70,"Rs 2,500/year",9/29,https://scholarships.gov.in,1
Rural Student Scholarship 1499,District Collector Office,Biotechnology,Chhattisgarh,Female,SC,Muslim,Postgraduate,Upto 3.5L,70-80,"Rs 12,000/year",12/30,https://scholarships.gov.in,1
Backward Class Merit Award 1500,Zilla Parishad,Science,Punjab,Male,All,Muslim,Class 10,Upto 3.5L,70-80,"Rs 12,000/year",12/29,https://scholarships.gov.in,1
District Topper Scholarship 1501,District Collector Office,Management,Sikkim,Male,Minority,Jain,Postgraduate,Upto 1L,Above 75,"Rs 2,500/year",12/30,https://scholarships.gov.in,1
Backward Class Merit Award 1502,NGO Foundation,Law,Maharashtra,All,ST,Muslim,Postgraduate,Upto 3.5L,90-100,"Rs 18,000/year",12/31,https://scholarships.gov.in,1
District Topper Scholarship 1503,NGO Foundation,Architecture,Manipur,All,EWS,Sikh,Postgraduate,Upto 1L,90-100,"Rs 75,000/year",9/29,https://scholarships.gov.in,1
Backward Class Merit Award 1504,Trust Fund,Biotechnology,Mizoram,Male,Minority,Jain,Postgraduate,Upto 5L,80-90,"Rs 2,000/year",12/30,https://scholarships.gov.in,1
Academic Excellence Grant 1505,District Collector Office,Journalism,Madhya Pradesh,All,All,All,PhD,Upto 1L,90-100,"Rs 8,000/year",12/29,https://scholarships.gov.in,1
Backward Class Merit Award 1506,District Collector Office,Engineering,Tripura,Female,SC,Hindu,Diploma,No Limit,Above 60,"Rs 20,000/year",9/31,https://scholarships.gov.in,1
Rural Student Scholarship 1507,Zilla Parishad,Arts/Commerce,Rajasthan,Male,EWS,Christian,Diploma,Upto 5L,90-100,"Rs 6,000/year",9/31,https://scholarships.gov.in,1
Backward Class Merit Award 1508,Zilla Parishad,Medical,Delhi,Female,Minority,Jain,Diploma,Upto 5L,50-60,"Rs 18,000/year",9/31,https://scholarships.gov.in,1
Sports & Academics Scholarship 1509,State Education Board,Agriculture,Punjab,Male,All,Hindu,Class 12,No Limit,Above 75,"Rs 2,500/year",10/31,https://scholarships.gov.in,1
BPL Student Aid 1510,Zilla Parishad,Law,Goa,Male,All,Muslim,Class 10,Upto 5L,60-70,"Rs 18,000/year",11/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1511,Trust Fund,Agriculture,Telangana,Female,All,Hindu,Class 12,Upto 2.5L,60-70,"Rs 1,000/year",11/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1512,NGO Foundation,Management,Punjab,Female,ST,All,Diploma,No Limit,Above 75,"Rs 60,000/year",10/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1513,Trust Fund,Law,Chhattisgarh,Female,Minority,Christian,Undergraduate,No Limit,90-100,"Rs 3,000/year",9/30,https://scholarships.gov.in,1
Single Parent Child Scholarship 1514,Zilla Parishad,Science,Jharkhand,Female,EWS,Buddhist,Diploma,Upto 3.5L,Above 60,"Rs 20,000/year",9/31,https://scholarships.gov.in,1
BPL Student Aid 1515,Zilla Parishad,Engineering,Uttar Pradesh,Female,Minority,Jain,PhD,Upto 3.5L,Above 60,"Rs 10,000/year",12/29,https://scholarships.gov.in,1
First Generation Learner Award 1516,State Education Board,All,Haryana,All,EWS,Muslim,Class 12,Upto 8L,80-90,"Rs 1,500/year",12/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1517,NGO Foundation,Journalism,Chhattisgarh,Female,General,Christian,Class 12,Upto 2.5L,50-60,"Rs 75,000/year",10/30,https://scholarships.gov.in,1
Rural Student Scholarship 1518,NGO Foundation,Agriculture,Delhi,Female,SC,Sikh,Undergraduate,Upto 8L,60-70,"Rs 20,000/year",11/28,https://scholarships.gov.in,1
Academic Excellence Grant 1519,NGO Foundation,Engineering,Gujarat,All,General,All,Postgraduate,Upto 2.5L,90-100,"Rs 15,000/year",11/31,https://scholarships.gov.in,1
Academic Excellence Grant 1520,Zilla Parishad,Law,Haryana,Female,General,Jain,Class 10,Upto 1L,80-90,"Rs 60,000/year",12/29,https://scholarships.gov.in,1
District Topper Scholarship 1521,Trust Fund,All,Chhattisgarh,All,Minority,Hindu,Class 12,Upto 5L,80-90,"Rs 50,000/year",12/29,https://scholarships.gov.in,1
BPL Student Aid 1522,State Education Board,Design,Chhattisgarh,Female,EWS,Buddhist,Class 10,Upto 5L,70-80,"Rs 15,000/year",10/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1523,State Education Board,Engineering,Assam,All,All,Hindu,Class 10,Upto 3.5L,50-60,"Rs 50,000/year",9/30,https://scholarships.gov.in,1
Backward Class Merit Award 1524,District Collector Office,Agriculture,Himachal Pradesh,Female,ST,Christian,Undergraduate,Upto 1L,90-100,"Rs 1,000/year",12/30,https://scholarships.gov.in,1
BPL Student Aid 1525,Zilla Parishad,Education,Assam,Male,OBC,Christian,Class 10,Upto 8L,50-60,"Rs 5,000/year",9/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1526,Trust Fund,Education,Andhra Pradesh,All,General,Buddhist,Postgraduate,No Limit,Above 60,"Rs 1,000/year",12/31,https://scholarships.gov.in,1
Single Parent Child Scholarship 1527,Trust Fund,Pharmacy,Nagaland,Male,EWS,Muslim,Class 10,No Limit,90-100,"Rs 2,500/year",12/29,https://scholarships.gov.in,1
Rural Student Scholarship 1528,State Education Board,Agriculture,Uttarakhand,All,SC,Hindu,Diploma,Upto 2.5L,Above 60,"Rs 2,000/year",12/28,https://scholarships.gov.in,1
BPL Student Aid 1529,Zilla Parishad,Arts/Commerce,Maharashtra,Male,Minority,Christian,Class 12,Upto 3.5L,Above 60,"Rs 6,000/year",12/31,https://scholarships.gov.in,1
Academic Excellence Grant 1530,State Education Board,Law,Nagaland,Male,OBC,Muslim,Postgraduate,Upto 1L,60-70,"Rs 75,000/year",9/28,https://scholarships.gov.in,1
Single Parent Child Scholarship 1531,District Collector Office,Education,West Bengal,Male,EWS,Buddhist,PhD,Upto 3.5L,80-90,"Rs 30,000/year",10/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1532,Zilla Parishad,All,Rajasthan,Female,SC,Hindu,Undergraduate,Upto 3.5L,70-80,"Rs 5,000/year",9/29,https://scholarships.gov.in,1
Backward Class Merit Award 1533,Zilla Parishad,Biotechnology,Goa,Male,OBC,Sikh,Postgraduate,Upto 8L,80-90,"Rs 50,000/year",9/30,https://scholarships.gov.in,1
Single Parent Child Scholarship 1534,Trust Fund,Journalism,Uttarakhand,All,General,Christian,Diploma,Upto 8L,Above 75,"Rs 20,000/year",11/30,https://scholarships.gov.in,1
District Topper Scholarship 1535,District Collector Office,Medical,Mizoram,Female,SC,Christian,Undergraduate,Upto 3.5L,60-70,"Rs 6,000/year",9/30,https://scholarships.gov.in,1
BPL Student Aid 1536,Trust Fund,Medical,Gujarat,All,All,All,Diploma,Upto 3.5L,80-90,"Rs 50,000/year",9/29,https://scholarships.gov.in,1
Rural Student Scholarship 1537,Zilla Parishad,Medical,Nagaland,All,All,Muslim,Diploma,Upto 3.5L,Above 60,"Rs 6,000/year",10/29,https://scholarships.gov.in,1
Rural Student Scholarship 1538,NGO Foundation,Medical,Tripura,All,General,Sikh,Class 12,Upto 1L,90-100,"Rs 3,000/year",12/30,https://scholarships.gov.in,1
Backward Class Merit Award 1539,Zilla Parishad,Medical,Tamil Nadu,Female,Minority,Hindu,Postgraduate,No Limit,Above 60,"Rs 3,000/year",10/31,https://scholarships.gov.in,1
Rural Student Scholarship 1540,State Education Board,Architecture,Telangana,Male,General,Hindu,Diploma,Upto 2.5L,70-80,"Rs 8,000/year",10/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1541,District Collector Office,Computer Science,Gujarat,All,EWS,Hindu,Diploma,Upto 1L,Above 60,"Rs 15,000/year",11/29,https://scholarships.gov.in,1
Best Student Award Scholarship 1542,Zilla Parishad,Medical,Goa,Female,OBC,Jain,Postgraduate,Upto 5L,90-100,"Rs 50,000/year",10/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1543,State Education Board,Journalism,Assam,All,Minority,All,Class 10,Upto 5L,80-90,"Rs 12,000/year",10/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1544,NGO Foundation,Education,Andhra Pradesh,Female,EWS,Christian,Diploma,Upto 2.5L,50-60,"Rs 6,000/year",11/30,https://scholarships.gov.in,1
Women in STEM Scholarship 1545,State Education Board,All,Sikkim,All,Minority,Buddhist,Postgraduate,No Limit,60-70,"Rs 8,000/year",12/28,https://scholarships.gov.in,1
First Generation Learner Award 1546,State Education Board,Computer Science,Sikkim,All,ST,Sikh,Undergraduate,Upto 5L,50-60,"Rs 8,000/year",9/30,https://scholarships.gov.in,1
Sports & Academics Scholarship 1547,District Collector Office,Architecture,Nagaland,Female,ST,Buddhist,Diploma,Upto 8L,Above 60,"Rs 3,000/year",12/29,https://scholarships.gov.in,1
Rural Student Scholarship 1548,NGO Foundation,Journalism,Rajasthan,Female,General,Christian,Class 12,Upto 2.5L,80-90,"Rs 60,000/year",12/29,https://scholarships.gov.in,1
Backward Class Merit Award 1549,NGO Foundation,Education,Odisha,Female,EWS,Buddhist,Class 12,No Limit,70-80,"Rs 40,000/year",11/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1550,Zilla Parishad,Architecture,Arunachal Pradesh,Female,Minority,Buddhist,Diploma,Upto 8L,90-100,"Rs 2,500/year",12/30,https://scholarships.gov.in,1
First Generation Learner Award 1551,NGO Foundation,Management,Odisha,All,OBC,Jain,Diploma,Upto 8L,Above 60,"Rs 12,000/year",11/29,https://scholarships.gov.in,1
Single Parent Child Scholarship 1552,NGO Foundation,Medical,Telangana,Male,General,Buddhist,Diploma,Upto 2.5L,60-70,"Rs 15,000/year",9/31,https://scholarships.gov.in,1
Rural Student Scholarship 1553,State Education Board,Architecture,Kerala,All,General,Muslim,Class 10,Upto 5L,90-100,"Rs 5,000/year",11/29,https://scholarships.gov.in,1
Sports & Academics Scholarship 1554,NGO Foundation,Education,Mizoram,All,General,Jain,Class 10,Upto 2.5L,80-90,"Rs 10,000/year",10/28,https://scholarships.gov.in,1
Best Student Award Scholarship 1555,District Collector Office,Medical,Sikkim,Male,SC,Christian,Undergraduate,Upto 2.5L,50-60,"Rs 5,000/year",11/30,https://scholarships.gov.in,1
Best Student Award Scholarship 1556,Trust Fund,Architecture,Maharashtra,Female,General,Hindu,Class 12,Upto 2.5L,Above 75,"Rs 25,000/year",10/30,https://scholarships.gov.in,1
District Topper Scholarship 1557,District Collector Office,Management,Goa,All,General,All,Class 12,Upto 3.5L,60-70,"Rs 20,000/year",10/29,https://scholarships.gov.in,1
District Topper Scholarship 1558,State Education Board,Agriculture,West Bengal,All,SC,Jain,Postgraduate,Upto 3.5L,50-60,"Rs 20,000/year",9/31,https://scholarships.gov.in,1
Rural Student Scholarship 1559,State Education Board,Engineering,Nagaland,Male,EWS,Buddhist,Postgraduate,Upto 3.5L,50-60,"Rs 40,000/year",9/29,https://scholarships.gov.in,1
District Topper Scholarship 1560,Zilla Parishad,Pharmacy,Uttar Pradesh,Female,OBC,Sikh,Class 12,Upto 2.5L,50-60,"Rs 5,000/year",12/31,https://scholarships.gov.in,1
Women in STEM Scholarship 1561,State Education Board,Arts/Commerce,Manipur,Male,All,Buddhist,Diploma,No Limit,70-80,"Rs 1,000/year",10/30,https://scholarships.gov.in,1
First Generation Learner Award 1562,Zilla Parishad,Agriculture,Maharashtra,Female,General,Muslim,Class 12,Upto 3.5L,60-70,"Rs 3,000/year",12/29,https://scholarships.gov.in,1
First Generation Learner Award 1563,Trust Fund,Agriculture,Sikkim,Male,ST,Jain,Class 12,Upto 3.5L,70-80,"Rs 3,000/year",12/30,https://scholarships.gov.in,1
