gender,ug_course,ug_specialization,interests,skills,cgpa_percentage,job_title,source,linguistic,musical,bodily,logical,spatial,interpersonal,intrapersonal,naturalist
Male,B.Tech,Biotechnology,"Research,Understand human body,BioTechnology","
Molecular Biology;Structural Biology. Nucleic acid - Protein interactions. Data Analysis",74.195,Teaching Assistant-Biotechnology,career_recommender,,,,,,,,
Female,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning,"Proeficiency in Software like STAAD PRO, ETABS",77.9,Civil & Structural Engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,"Technology,Entrepreneurship","Programming,Leadership skills,Presentation skills,Team work",77.9,AWS Developer,career_recommender,,,,,,,,
Female,B.Sc,Mathematics,"Financial Analysis, News Coverage, Social Justice, Teaching","AI, ML, Python, Critical Thinking, Analytic Thinking, Team work, Logical Skills, R, Problem Solving skills, Tableau, Observation Skills, Reading",74.955,Student (Unemployed),career_recommender,,,,,,,,
Male,BALLB,Criminal justice/ law enforcement administration,Litigation & Legal service,Civil & Criminal Law,74.86,Litigation Lawyer,career_recommender,,,,,,,,
Male,BE,Computer Science Engineering ,Technology;Web Designing;Social media marketing,Programming Language skills;C++;R;Python;Java,84.55,Front End Developer,career_recommender,,,,,,,,
Male,B.E,Computer Science Engineering,Software developerÂ ,"Python, Java, SQL",72.105,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,"Financial Analysis, Research, Technology, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Communication Skills, Leadership, Market Study, Team work, Tableau",82.3,Civil Engineer,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Sports Industry,Gathering Information,56,Executive,career_recommender,,,,,,,,
Male,M.Tech,Aeronautical,Financial Analysis;Research;Technology;Understand human behaviour,People management;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Client management,73.5,Team leader,career_recommender,,,,,,,,
Male,B.Com,Accountancy,"Financial Analysis, Take risk for Profits, Trading, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Gathering Informing, Business Knowledge, People Management, Communication Skills, Editing, Cost Accounting, Market Study, Team work, Excel, Logical Skills, Presentation Skills, Wealth Management, Problem Solving skills, Writing, Risk Managing, Reading, Sales, Subject Knowledge",69.16,Data Analyst,career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,Technology;Data scientist,Programming Language skills;Machine Learning skills;Python;SQL;AWS,67,Application developer,career_recommender,,,,,,,,
Male,BA,General studies ,Trading;Supply Chain Analysis;Content Writing;Market reserach;Social media marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Product knowledge;Writing skills,49,Flipkart customer care executive,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Data analytics,Programming Language skills;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;SQL;Java,58.9,Maintenance engineer,career_recommender,,,,,,,,
Male,BE,Computer Science Engineering,"Technology, Trading, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Java, SQL, Oracle, Programming, Communication Skills, Work under Pressure, Leadership, Editing, Excel, Logical Skills, C++, R, Linux, Problem Solving skills, Observation Skills",89.3,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Technology,power system engineering,78.85,Maintenance Engineer-Electrical,career_recommender,,,,,,,,
Male,Bachelor of journalism,Mass communication,News Coverage;Technology;Content Writing;Govt. Job;Game industry;Digital marketing;Social media marketing,Active Listening;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Writing skills;Social Media Marketing;Content creation;Medical knowledge;Java;Cloud Computing;Architecture;Hospitality;HR;Good communication skills,78,Content creator,career_recommender,,,,,,,,
Male,B.E,Mechanical Engineering,"Financial Analysis, Social Justice, Trading, Entrepreneurship","Active Listening, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Communication Skills, Team work, Excel",68.875,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Genetic Engineering,"Research,Understand human body,BioTechnology","Life science molecular Biology genetics;
Polymerase Chain Reaction (PCR);
Protein Expression;
Biochemistry
Â·",66.595,Research Associate,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,"Data analytics,Machine Learning,Cloud computing",Amazon Web Services (AWS)SQL;Java,81.7,System Administrator,career_recommender,,,,,,,,
Male,MBA,Hospital administration,Financial Analysis;Sales/Marketing;Supply Chain Analysis,Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Good communication skills,70,Ast.purchase manager,career_recommender,,,,,,,,
Male,B.Pharm,Sales & Marketing,Sales/Marketing,"People Management, Communication Skills, Negotiation Skills",66.5,Student (Unemployed),career_recommender,,,,,,,,
Male,BBA, Management,Sales/Marketing;SAP Consultant in MM;Product Life cycle Management,Leadership;Risk management skills;Wealth Management;Client management,67.545,Project Manager,career_recommender,,,,,,,,
Male,B.Com,Commerce ,Web Designing;Data analytics;Game industry;Digital marketing;Data scientist,Editing;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,72,IT Operations,career_recommender,,,,,,,,
Male,B.Com,Commerce ,Research;Sales/Marketing;Teaching;Technology;Trading;Web Designing;Data analytics;Game industry;Digital marketing;Data scientist,Editing;Problem Solving skills;Risk management skills;Designing skills;C++;R;Python;SQL,72,IT Operations,career_recommender,,,,,,,,
Female,B.Tech,Information Technology,Technology;Understand human behaviour;Data analytics;Web development,Hardware skills;Programming Language skills;Gathering Information;Artistic/Creative Skills;Java;HR,82.65,Application Development Analyst,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Financial Analysis;Govt. Job;Project Management,Project management,72.2,Site Civil Engineer,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,"Technology,Entrepreneurship","Creativity Skills,Leadership,Market Study, Teamwork, Programming",71.25,Developer,career_recommender,,,,,,,,
Male,B.Tech,Maths ,Financial Analysis;Teaching;Understand human behaviour,Accounting Skills;Business Knowledge,63.65,School accountant,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Financial Analysis;Game industry,Active Listening;Programming Language skills;People management;Communication skills;Product knowledge;Linux;Java,70.7,Software developer,career_recommender,,,,,,,,
Male,B.Com,Mathematics ,Sales/Marketing;Trading;Understand human behaviour,Artistic/Creative Skills;Analytical Skills;Editing;Writing skills,60,Dance teacher,career_recommender,,,,,,,,
Male,BE,Dynamics of machine,Technology;Trading;Product Life cycle Management,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Client management;Good communication skills,76,PLM Engineer,career_recommender,,,,,,,,
Female,BBA,business administration,Market reserach;Human Resource,HR,80.75,Technical Recruiter,career_recommender,,,,,,,,
Male,B.Tech,Instrumention Engineering,Entrepreneurship,Writing,60.895,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Com,Accountancy & Finance,Financial Analysis,ACCOUNTANCY; FINANCIAL MANAGEMENT; COST ACCOUNTANCY; TAXATION,72.58,Financial Analyst,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Technology;Trading;Data scientist,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Mass Communication,67,Site Engineer,career_recommender,,,,,,,,
Male,B.Tech,Electrical and electronic Engineering,Technology;Trading;Govt. Job;Infrastructure;Social causes,Critical Thinking;Business Knowledge;Analytical Skills;Risk management skills,63,site Engineer,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,Financial Analysis;Technology;Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,80,Data analyst,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,Financial Analysis;Technology;Data analytics,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL,80,Associate consultant,career_recommender,,,,,,,,
Female,B.Sc,Computer Science Engineering,"Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","Python, Java, SQL, Oracle, Programming, Logical Skills, C++, Writing, Sales",71,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Electronics and communication Engineering,"Research, Technology, Entrepreneurship","Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Designing Skills, Subject Knowledge",81.13,Associate Engineer - DevOps,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Software Job,NO,73.15,associate Engineer,career_recommender,,,,,,,,
Male,B.EÂ ,Automobile Engineering,Entrepreneurship,"Business Knowledge, Sales",65.55,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Technology,Programming Language skills;SQL;Java;Good communication skills,64,Associate consultant,career_recommender,,,,,,,,
Female,BE,Electronics and Communication Engineering,Research;Social Justice;Teaching;Technology;Web Designing;Content Writing;Data analytics;Game industry;Data scientist;Market reserach;Gardening,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;SQL;Java;Hospitality;HR;MATLAB;Good communication skills,75,Data Science and Game Design Trainer,career_recommender,,,,,,,,
Male,BE,Electronics n Telecommunication,Financial Analysis;Data analytics,Programming Language skills;Critical Thinking;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills;Presentation Skills;Python;Artificial Intelligence;Good communication skills;Teaching,67,I was working as Dean R n D,career_recommender,,,,,,,,
Female,BE,Electrical and Electronics Engineering,Technology,"SQL, Excel, Writing, Reporting, Reading, Building Rapport, Subject Knowledge",86.45,Computer Software Engineer,career_recommender,,,,,,,,
Male,M.Tech,Computer Science Engineering,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Machine Learning skills;Python;SQL;Cloud Computing,76.95,Software Engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Technology;Data analytics,Programming Language skills;Analytical Skills;Machine Learning skills;Python,79,Data analyst,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Social Justice;Technology;Understand human behaviour;Data analytics;Game industry,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Python;Artificial Intelligence;SQL;Cloud Computing;MATLAB,83.695,ZIGNA AI PVT LTD,career_recommender,,,,,,,,
Male,BALLB,Law,Litigation & Legal service,Civil & Criminal Law,67.64,Corporate and Disputes Lawyer,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Technology;Data analytics;Data scientist;Oil and Gas,Programming Language skills;Product knowledge;Risk management skills;Machine Learning skills;Python;Excel,64.81,Quality Assurances Engineer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Research;Technology,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),85.025,CES-CAE- FEA Analyst,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology,NO,76,Qualitative Analyst,career_recommender,,,,,,,,
Male,B.Tech,Chemical Engineering,Industires,Problem Solving skills;Process Safety Management,78.85,Process Operations Engineer,career_recommender,,,,,,,,
Male,B.Tech,Bcom-Accounting,"Financial Analysis,Financial Law",Teamwork ;accounting ;business strategy; Team Management ;Marketing; strategic planning; financial analysis ;management; consulting ;budgeting; financial modelling;financial accounting ;Business Development ;corporate finance; financial reporting ;financial planning ;forecasting ;financial forecasting; financial metrics;accounts receivable; back reconciliation; business planning; business management; business analysis; managerial finance; financial structuring,66.5,Tax Consultant,career_recommender,,,,,,,,
Male,BBA,Sales & Marketing,"Sales/Marketing, Trading, Entrepreneurship","Active Listening, Critical Thinking, Gathering Informing, Business Knowledge, Leadership, Team work",75.05,TRI,career_recommender,,,,,,,,
Male,Master of journalism,Political science,News Coverage;Research;Content Writing;Govt. Job,Artistic/Creative Skills;People management;Communication skills;Mass Communication;Editing;Writing skills,58.5,Sub editor,career_recommender,,,,,,,,
Male,BBAÂ ,Accountancy,Financial Analysis,"Accounting Skills, Python, Analytic Thinking, Gathering Informing, Business Knowledge, Cost Accounting, Sales",87.21,Student (Unemployed),career_recommender,,,,,,,,
Male,B.E,Automobile Engineering,"News Coverage, Research, Sales/Marketing, Entrepreneurship","Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Cost Accounting, Wealth Management, Observation Skills, Risk Managing",76,Computer Software Engineer,career_recommender,,,,,,,,
Male,BE,Automobile Engineering,Technology,Team work,79.8,Mechanical Engineer,career_recommender,,,,,,,,
Male,BCAÂ ,Computer Applications,"Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Critical Thinking, Gathering Informing, Java, Editing, Creativity Skills, Team work, Interpersonal Skills, Building Rapport",66,Software tester,career_recommender,,,,,,,,
Female,B.Sc,Agriculture,"Research, Teaching","Python, Excel, Presentation Skills, Writing, Subject Knowledge",86,Scientist,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Industires;Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),86.45,Mechanical Design Engineer,career_recommender,,,,,,,,
Male,B.Arch,ArchitectureÃÅ ,"Research, Sales/Marketing, Understand Human Behaviour, Architecture and constructionÂ ","Active Listening, AI, Critical Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Designing Skills, Architecture and ConstructionÂ ",71.25,Junior Architect,career_recommender,,,,,,,,
Male,B.Sc,Mathematics ,Financial Analysis;Research;Technology;Supply Chain Analysis,Critical Thinking;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,76,Assistant Professor,career_recommender,,,,,,,,
Male,B.Sc,Mathematics,"Financial Analysis, Technology","AI, ML, Python, Analytic Thinking, Tableau",80,Teacher,career_recommender,,,,,,,,
Prefer not to say,B.Sc,Mathematics,Teaching;Data analytics,Programming Language skills;Analytical Skills;Artificial Intelligence;SQL,60,Traning and Development,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology,"SQL, Oracle, Work under Pressure, Leadership, Editing, Cost Accounting, Creativity Skills, Market Study, Team work, Excel, Linux, Ccna",72.2,Data Engineer,career_recommender,,,,,,,,
Male,BA,Political Science,"Financial Analysis, Sales/Marketing, Trading","Accounting Skills, Gathering Informing, Business Knowledge, People Management",53.2,Real e-state agent,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology,"Analytic Thinking, Negotiation Skills, Team work",77,Business Analyst,career_recommender,,,,,,,,
Male,B.Com,Information Technology,Technology,"Communication Skills, Negotiation Skills, Leadership, Excel, Microsoft Windows, networking basic, Computer hardware, L3 printer",58,IT SUPPORT,career_recommender,,,,,,,,
Male,MBA,Human Resources,Research;Sales/Marketing;Teaching;Technology;Trading;Digital marketing;Market reserach;Compering,Active Listening;Hardware skills;Programming Language skills;Analytical Skills;People management;HR,78.75,Associative staff,career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,Web Designing;Digital marketing;Industires;Design;Blockchain,Programming Language skills;Critical Thinking;Leadership;Machine Learning skills;MATLAB,75,Software Engineer,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Data Analyst,"Creativity Skills, Programming, Teamwork, Analytical Skills, Excel, Presentation Skills",73.15,Data Engineer,career_recommender,,,,,,,,
Male,BE,Electronics and Communication Engineering,Content Writing;Game industry;Digital marketing;Market reserach,Active Listening;Critical Thinking;Problem Solving skills;Writing skills;Teaching,65.455,Digital marketing executive,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,Data Analytics,"C, python, javascript",76,Software engineer,career_recommender,,,,,,,,
Female,B.Tech,Mechanical Engineering,"Research, Product analysisÂ ","Critical Thinking, Work under Pressure, Product Knowledge, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Designing Skills",74.7,Mechanical Engineer,career_recommender,,,,,,,,
Female,B.Com,Commerce ,Financial Analysis;Data analytics,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Mass Communication;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau ),89,Tax consultant,career_recommender,,,,,,,,
Male,B.E,Maths,"Technology, Trading","Accounting Skills, Python, Artistic skills, Communication Skills, Team work, Problem Solving skills, Writing, Designing Skills, Sales",66.5,Fruit business,career_recommender,,,,,,,,
Male,BE,Automobile Engineering,"Financial Analysis, Technology, Entrepreneurship","Communication Skills, Team work",71.25,Data Engineer,career_recommender,,,,,,,,
Female,B.Tech,Electrical and Electronics Engineering,Teaching,Problem Solving skills,67.45,Student (Unemployed),career_recommender,,,,,,,,
Female,B.E,Electrical and Electronics Engineering,"Financial Analysis, Research, Teaching, Technology, Data Science","Active Listening, Python, SQL, Programming, People Management, Communication Skills, Work under Pressure, Leadership, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Wealth Management, C++, R, Problem Solving skills, Mass Communication, Writing, Observation Skills, Risk Managing, Reporting, Reading, Subject Knowledge",70.585,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Com,Commerce,"Financial Analysis, Research, Sales/Marketing, Take risk for Profits, Teaching, Technology, Trading, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Active Listening, Artistic skills, Business Knowledge, Programming, People Management, Communication Skills, Leadership, Editing, Cost Accounting, Team work, Excel, Interpersonal Skills, Wealth Management, Problem Solving skills, Writing, Reading, Designing Skills, Sales, Subject Knowledge",75,Student (Unemployed),career_recommender,,,,,,,,
Female,BE,Computer Science Engineering,Technology,Programming Language skills;Java,50,Senior Associate,career_recommender,,,,,,,,
Female,B.Tech,Biotechnology,"Research,Understand human body,BioTechnology"," immunochemistry
Immunocytochemistry;
ImageJ and Zen2012 softwares;
SDS-PAGE;
Thin-Layer Chromatography (TLC);
Agarose Gel Electrophoresis;
Paper Chromatography",84.455,Research Associate,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Research;Technology;Trading;Data analytics;Game industry,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,83.315,Program engineering (IT),career_recommender,,,,,,,,
Male,BE,Electrical Engineering,All fields related to Data science.,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;SQL,67.94,Apprentice DP world Navi Mumbai,career_recommender,,,,,,,,
Female,B.Tech,Information TechNAlogy,Writing,"Work under Pressure, Team work, Interpersonal Skills, Presentation Skills, Writing",77.33,Technical writerÂ,career_recommender,,,,,,,,
Male,BBAÂ ,Management,"Financial Analysis, News Coverage, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Critical Thinking, Business Knowledge, Communication Skills, Work under Pressure, Leadership, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Writing, Reading",71.25,Student (Unemployed),career_recommender,,,,,,,,
Male,BA,Economics,Financial Analysis;Research;Data analytics;Data scientist,Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Excel,76,Business Analyst,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,News Coverage;Teaching;Technology,Wealth Management;Java,66,Junior Developer,career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,"VLSI,Technology","Core Skills,Programming",69.35,VLSI Developer,career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Teaching;Technology;Service;Social causes;Information Technology,Accounting Skills;Critical Thinking;People management;Communication skills;Java,76,Software Engineer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology,"SQL, Communication Skills, Team work",76,Test Analyst,career_recommender,,,,,,,,
Female,B.Tech,Civil Engineering,Hr,"Python, Java, SQL",77.995,ASP.NET Developer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),70.3,Mechanical Design Engineer,career_recommender,,,,,,,,
Female,B.Com,Accountancy,Financial Analysis,Accounting Skills,57,Business Analyst,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,"Machine Learning,All fields related to Data science",Data Structures;C++;Digital Marketing;Programming;Python (Programming Language);Database Management System (DBMS);MySQL,70.87,Specialist Programmer,career_recommender,,,,,,,,
Male,B.Tech,Electronics & Telecommunications ,"Cyber Security,Technology,Data analytics,Machine Learning,Cloud computing","
Information Security;Cybersecurity Incident Response;Cyber Threat Intelligence (CTI);ITIL;Server Administration;Network Security;Sumologic;Crowdstrike Falcon;Active Directory;McAfee Antivirus;CiscoASA;ShavlikArcSight;Microsoft Operating Systems;Cisco Firewall Security;Cybersecurity",81.7,Information Secuirty Analyst,career_recommender,,,,,,,,
Male,BE,Automobile Engineering,"Technology, RacingÂ ","Critical Thinking, People Management, Work under Pressure, Leadership, Team work, Observation Skills",67.45,Student (Unemployed),career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Research;Teaching,Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),72,Assistant Professor,career_recommender,,,,,,,,
Female,BCA,C language,Govt. Job,Writing skills,75,Data analysis,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,Technology,NO,76,associate Engineer,career_recommender,,,,,,,,
Female,B.Tech,Electrical and Electronics Engineering,Software Job,NO,66.5,associate trainee,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Software Job,NO,66.5,associate Engineer,career_recommender,,,,,,,,
Male,B.E,Automobile Engineering,Social Justice,Team work,81.7,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Mathematics,"Financial Analysis, Teaching, Trading, Understand Human Behaviour, Understand Human Body","Excel, Presentation Skills, Problem Solving skills, Writing",57.95,Stock Trader,career_recommender,,,,,,,,
Male,MBA,Sales & Marketing,"Sales/Marketing, Social Justice","Leadership, Product Knowledge",87.4,Business Analyst,career_recommender,,,,,,,,
Male,Diploma,NAn Coal,Industires,Risk management skills;SAP,69,Jr. Engineer,career_recommender,,,,,,,,
Male,BE,Electronics and Communication Engineering,Data analytics,Analytical Skills;Problem Solving skills;Python;SQL,68.4,Lecturer,career_recommender,,,,,,,,
Male,M.Tech,Electrical and Electronics Engineering,News Coverage;Research;Social Justice;Teaching;Technology,Active Listening;Hardware skills;Critical Thinking;Business Knowledge,77,Teacher,career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,"Industires,Teaching,Technology","
Electronics Hardware Design;
Product Development;
Microcontrollers;
PCB Design;
Robotics;
System Deployment;
Graphic Design;
Embedded Systems;
Assembly Language;
IOT;
Battery Management Systems;Electronic Circuit Design;Electronic Hardware;
Mechatronics",68.4,Hardware Design Engineer,career_recommender,,,,,,,,
Female,B.Tech,Mechania,"Research, Entrepreneurship","Active Listening, Business Knowledge, Work under Pressure, Team work, Interpersonal Skills, Writing",90,Mechanical Engineer,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Technology,"Java, Programming",80,Front End Developer,career_recommender,,,,,,,,
Male,B.Tech,Data Warehousing & Data Mining,"Financial Analysis, Research, Sales/Marketing, Technology, Entrepreneurship","Python, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Excel, Interpersonal Skills, Presentation Skills, Wealth Management, Linux, Mass Communication, Tableau, Observation Skills, Risk Managing, Reading, Subject Knowledge",71.25,Data Engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Technology,NO,66.5,Web developer,career_recommender,,,,,,,,
Female,MDCS,Information TechNAlogy,Financial Analysis,"Analytic Thinking, SQL, Oracle, Programming, Team work, Linux, Building Rapport, Subject Knowledge",75,Computer Software Engineer,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,"Understand Human Behaviour, Understand Human Body","People Management, Communication Skills, Negotiation Skills, Leadership, Creativity Skills, Team work, Interpersonal Skills, Presentation Skills",70,Business Analyst,career_recommender,,,,,,,,
Female,B.Com,Commerce,Financial Analysis;Research;Social causes,Accounting Skills;Wealth Management,69.35,Finance consultant,career_recommender,,,,,,,,
Male,BBA,business administration,Human Resource,HR,74.1,Technical Recruiter,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,"Research, Technology","Java, SQL, Programming",73.15,Student (Unemployed),career_recommender,,,,,,,,
Male,BCA,"Mathematics , Computer",Game industry,Communication skills,75,Medical Posting,career_recommender,,,,,,,,
Male,B.Com,Accountancy,"Financial Analysis, Sales/Marketing","Accounting Skills, Active Listening, Business Knowledge, Communication Skills, Leadership, Team work, Writing, Reading, Sales",58.14,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Com,Commerce,Entrepreneurship,"Leadership, Product Knowledge, Interpersonal Skills, Sales",87,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Com,Statistics,"Technology, Analysis","ML, Python, SQL, Programming, Excel, Problem Solving skills, Tableau",71.25,Sales,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,"Industires,Technology",KiCAD;Keil;dc to dc converters;dc to ac converters;dc drives;facts devices;Matlab;Power Systems,76,Engineer-Power Electronics,career_recommender,,,,,,,,
Male,BE,Electrical and Electronics Engineering,Data Analytics,NO,65.55,System engineer,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Financial Analysis;Research;Technology;Understand human behaviour;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Information Technology;Navy Defence related;Sports Industry,Analytical Skills;People management;Leadership;Product knowledge;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,63,Intern at innodatatics,career_recommender,,,,,,,,
Male,B.Com,Business Administration,Sales/Marketing,Business Knowledge,76,Business Analyst,career_recommender,,,,,,,,
Male,BA,general,Social Justice;Home interior design;Information Technology,Finance related skills;Civil & Criminal Law;Negotiation skills;Good communication skills,66,supervisor,career_recommender,,,,,,,,
Female,B.Sc,Biotechnology,"Teaching, Technology","Gathering Informing, Interpersonal Skills, Building Rapport, Subject Knowledge",74.1,Teacher,career_recommender,,,,,,,,
Female,B.Sc,Agriculture,Sales/Marketing;Supply Chain Analysis,Active Listening;Gathering Information;Communication skills;Mass Communication,70.3,Sales Executive,career_recommender,,,,,,,,
Male,Bhmct,Hospitality,"Financial Analysis, Research, Technology, Understand Human Behaviour","Active Listening, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Communication Skills, Work under Pressure, Excel",74.1,Transcriber/Script editor,career_recommender,,,,,,,,
