college_name,state,stream,ug_fee,pg_fee,rating,academic_score,placement_score,source,city,college_type
Cept University,Gujarat,"B.Arch, Bachelor of Construction Technology, BID, Master of Urban Planning, Bachelor of Urban Design, Master of Urban Design, Master of Urban Management, M.Arch Architectural Design, M.Des Building Products and Systems, M.Des Furniture Design, M.Tech Construction Engineering and Management, M.Tech Geomatics, M.Tech Structural Engineering Design, Master of Urban Housing, Master of Urban Infrastructure, Master of Urban Transport Systems, M.Des Interior Design, M.Tech Building Energy Performance, M.Arch Conservation and Regeneration, M.Arch Architectural History and Theory, Master of Landscape Architecture, M.Phil Architecture, M.Phil Planning, Ph.D Architecture, Ph.D Planning, B.Des, MA Architectural History and Theory, MA Conservation and Regeneration",923000,,,,,engineering_india,Ahmedabad,Private
Kiet Group Of Institutions,Uttar Pradesh,"B.Tech Computer Science and Engineering, B.Tech Electrical and Electronics Engineering, B.Tech Electronics and Communication Engineering, B.Tech Information Technology, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Computer Science, B.Tech Computer Science and Information Technology, MBA, MCA, B.Pharma, B.Tech Electronics and Instrumentation Engineering, M.Pharma Pharmaceutics, M.Pharma Pharmacology, M.Tech Computer Science and Engineering, M.Tech Electronics and Communication Engineering, M.Tech Electronics and Electronics Engineering, M.Pharma Pharmaceutical Quality Assurance, M.Tech Mechanical Engineering",372421.0526,,,,,engineering_india,Ghaziabad,Private
Dr Dy Patil Institute Of Engineering And Technology,Maharashtra,"BE Mechanical Engineering, BE Civil Engineering, BE Computer Engineering, BE Computer Engineering Lateral Entry, BE Electrical Engineering, BE Information Technology, BE Information Technology Lateral Entry, ME Construction Management, ME Mechanical Design Engineering",271142.8571,,,,,engineering_india,Pune,Private
Srm University,Haryana,"BA LLB Hons, LLB Hons, BBA LLB Hons, B.Com Hons, B.Sc Chemistry Hons, B.Sc Computer Science Hons, B.Sc Hospitality and Hotel Administration, B.Sc Hotel Management and Catering Technology, B.Sc Mathematics Hons, B.Sc Physics Hons, B.Tech Biomedical Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Business System in Association with TCS, B.Tech Computer Science and Engineering, B.Tech Computer Science and Engineering with Specialization in Blockchain and IoT in Association with IBM, B.Tech Computer Science and Engineering with Specialization in Cloud and Mobile Based Application in Association with IBM, B.Tech Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence in Association with IBM, B.Tech Computer Science and Engineering with Specialization in DevOps in Association with Xebia, B.Tech Electrical and Electronics Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, BA Economics Hons, BA English Hons, BA Political Science Hons, BA Psychology Hons, BBA, BBA with Specialization in Business Analytics in Academic Partnership with KPMG, BCA, LLM, M.Com, M.Sc Biotechnology, M.Sc Chemistry, M.Sc Mathematics, M.Sc Microbiology, M.Sc Physics, M.Tech Biomedical Engineering, M.Tech Computer Science and Engineering, M.Tech Microelectronics, M.Tech Production Engineering, M.Tech Structural Engineering, MA English, MBA, Ph.D Biotechnology, Ph.D Chemistry, Ph.D Civil Engineering, Ph.D Commerce, Ph.D Computer Science and Engineering, Ph.D Economics, Ph.D Electrical and Electronics Engineering, Ph.D Electronics and Communication Engineering, Ph.D English, Ph.D Environmental Science, Ph.D Law, Ph.D Library and Information Science, Ph.D Management, Ph.D Mathematics, Ph.D Mechanical Engineering, Ph.D Microbiology, Ph.D Physics",412093.0233,,,,,engineering_india,Sonipat,Private
Pune Vidyarthi Griha'S College Of Engineering And Technology,Maharashtra,"BE Electronics and Telecommunication Engineering, BE Mechanical Engineering, BE Computer Engineering, BE Electrical Engineering, BE Information Technology, BE Printing Engineering and Graphic Communication, ME Electrical Power System, ME Printing and Graphic Communication, Ph.D Electrical Engineering",394500,,,,,engineering_india,Pune,Private
University Of Kalyani,West Bengal,"BA, BA Political Science, BA, BA General, BA, BA, BA, BA, BA, BA, BA, BA, BA, BA, BA, BA General Morning Section, BA, BA, BA, BA, BA, BA, BA, BA, BA, BA, B.Com, B.Com, B.Sc Computer Science, BA, B.Com, BA Bengali Hons, BA Defence Studies, B.Com, B.Com, B.Sc, BA History Hons, BA Physical Education, B.Com General, B.Sc, B.Com, B.Sc, BA Bengali Hons, B.Sc, BA General Day Section, BA Bengali Hons, BA Bengali Hons, B.Sc, BA Bengali Hons, BA Sanskrit Hons, MA Bengali, B.Com, B.Sc, BA English Hons, BA History Hons, BA Bengali Hons, BA English Hons, BA History Hons, B.Com Accounting Hons, BA, BA History Hons, B.Sc, B.Sc, B.Com Accounting and Finance Hons, B.Sc, BA Bengali Hons, BA Bengali Hons, BA Bengali Hons, BA Political Science Hons, B.Com, BA Bengali Hons, B.Sc, B.Sc Geography Hons, BA Sanskrit Hons, B.Com, BA History Hons, BA History Hons, B.Com Accounting and Finance Hons, BA Bengali Hons, B.Sc Mathematics Hons, B.Com Hons, BA Physical Education, B.Com, B.Com Hons, B.Com Hons, B.Sc Mathematics Hons, BA Bengali Hons, BA Philosophy Hons, BA Sanskrit Hons, BA, BA Physical Education, BA Bengali Hons, BA Bengali Hons, B.Com, B.Sc Geography Hons, B.Sc Geography Hons, B.Sc Physical Education, BA Geography Hons, BA Geography Hons, BA History Hons, BA LLB Hons, BA Philosophy Hons, BA Sanskrit Hons, MA History, BA Political Science Hons, BA Bengali Hons, BA History Hons, BA Bengali Hons, B.Com, BA Physical Education, BA Philosophy Hons, BA Political Science Hons, BA Bengali Hons, BA Philosophy Hons, BA Political Science Hons, B.Com Hons, B.Sc, BA History Hons, BA History Hons, BA History Hons, BA Sanskrit Hons, BA Bengali Hons, BA Economics Hons, BA Bengali Hons, BA Bengali Hons, BA English Hons, BA Bengali Hons, B.Com, B.Com Accountancy Hons, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.Ed, B.P.Ed, BA Bengali Hons, BA Education, BA Education, BA English Hons, BA English Hons, BA Geography, BA Physical Education, BA Sanskrit, BA Sanskrit, MA English, MA Political Science, BA English Hons, BA Geography, BA History Hons, BA Geography Hons, BA Sanskrit Hons, B.Sc Mathematics Hons, BA History Hons, BA Political Science Hons, BA Bengali Hons, BA English Hons, BA English Hons, BA Geography, BA Geography Hons, BA History Hons, BA Philosophy Hons, BA Sanskrit Hons, BA Bengali Hons, BA English Hons, BA History Hons, BA History Hons, BA History Hons, BA Philosophy Hons, BA Philosophy Hons, B.Sc Mathematics Hons, BA Sanskrit, B.Com Accountancy Hons, BA English Hons, BA English Hons, BA Sanskrit, BA Bengali Hons, BA Education Hons, BA History Hons, BA History Hons, B.Sc, B.Com Accountancy Hons, BA English Hons, BA Geography Hons, BA Philosophy Hons, BA Political Science Hons, BA Arabic, BA Geography Hons, BA History Hons, BA LLB Hons, BA Political Science Hons, M.Sc Mathematics, B.Com Accountancy Hons, BA English Hons, BA Political Science Hons, MA Bengali, B.Sc Economics Hons, BA English Hons, B.Sc, B.Sc Mathematics Hons, BA English Hons, BA History Hons, BA History Hons, BA Philosophy Hons, B.Com Accountancy Hons, BA Political Science Hons, B.Sc Geography, BA Bengali Hons, BA Philosophy Hons, BA Physical Education, BA Political Science Hons, BA Political Science Hons, BA History Hons, B.Com Hons, B.Sc Mathematics Hons, B.Sc Mathematics Hons, BA Education Hons, BA Education Hons, BA English Hons, BA History Hons, BA Political Science Hons, M.Sc Education, MA Bengali, BA Bengali Hons, BA Political Science Hons, BA Sanskrit Hons, BA English Hons, MA Philosophy, B.Sc Geography Hons, BA Bengali Hons, BA History Hons, BA Philosophy Hons, BA Political Science Hons, B.Sc, B.Sc Geography Hons, BA Bengali Hons, BA Geography Hons, BA History Hons, BA Philosophy Hons, B.Com Accountancy Hons, BA, BA Education, BA History Hons, BA Philosophy Hons, BA Philosophy Hons, BA Political Science Hons, BA Sanskrit, BA Sociology Hons, B.Com, B.Sc Mathematics Hons, BA English Hons, BA Sanskrit Hons, BA Sanskrit Hons, B.Sc, B.Sc Bio Science, B.Sc Mathematics Hons, B.Sc Pure Science, BA English Hons, BA Geography Hons, BA Geography Hons, BA Philosophy Hons, BA Political Science Hons, BA Bengali Hons, BA English Hons, BA History Hons, BA English Hons, BA Political Science Hons, BA Arabic Hons, BA Arabic Hons, BA Arabic Hons, BA Bengali Hons, BA Education Hons, BA Education Hons, BA Education Hons, BA Education Hons, BA English Hons, BA English Hons, BA English Hons, BA Geography, BA History Hons, BA Philosophy Hons, BA Philosophy Hons, BA Physical Education, BA Physical Education, BA Physical Education, BA Political Science Hons, BA Political Science Hons, BA Political Science Hons, BA Political Science Hons, BA Sanskrit Hons, BA Sanskrit Hons, BA Sanskrit Hons, M.P.Ed",11726.53226,,3.12,,,engineering_india,Kalyani,Public/Government
Iec College Of Engineering And Technology,Uttar Pradesh,"B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Pharma, B.Tech Information Technology, MBA, B.Tech Civil Engineering II Shift, B.Tech Computer Science and Engineering II Shift, B.Tech Mechanical Engineering II Shift, M.Tech Computer Science and Engineering, M.Tech Mechanical Engineering, M.Tech Power Systems, M.Pharma Pharmaceutics, M.Pharma Pharmacology, M.Tech Civil Engineering, M.Tech Electronics and Communication Engineering II Shift",294058.8235,,,,,engineering_india,Greater Noida,Private
Nims University,Rajasthan,"MBBS, BA LLB Integrated, LLB, B.Sc Nursing, BDS, B.Optom, B.Pharma, B.Sc Biochemistry Hons, B.Sc Biotechnology Hons, B.Sc Blood Transfusion Technology, B.Sc Botany Hons, B.Sc Chemistry Hons, B.Sc EEG Technology, B.Sc Emergency and Trauma Care Technology, B.Sc Endoscopy Technology, B.Sc Environmental Sciences Hons, B.Sc Fashion Design and Technology, B.Sc Mathematics Hons, B.Sc Medical Lab Technology, B.Sc Microbiology Hons, B.Sc Operation Theatre Technology, B.Sc Perfusion Technology, B.Sc Physics Hons, B.Sc Radiation and Imaging Technology, B.Sc Television and Film Production, B.Sc TMT Technology, B.Sc Zoology Hons, B.Tech Aerospace Engineering, B.Tech Aerospace Engineering and MBA, B.Tech Agricultural Engineering, B.Tech Agricultural Engineering and MBA, B.Tech Applied Electronics and Instrumentation Engineering, B.Tech Applied Electronics and Instrumentation Engineering and MBA, B.Tech Automobile Engineering, B.Tech Automobile Engineering and MBA, B.Tech Biotechnology Engineering, B.Tech Biotechnology Engineering and MBA, B.Tech Chemical Engineering, B.Tech Chemical Engineering and MBA, B.Tech Civil Engineering, B.Tech Civil Engineering and MBA, B.Tech Computer Science and Engineering, B.Tech Computer Science and Engineering and MBA, B.Tech Electrical Engineering, B.Tech Electrical Engineering and MBA, B.Tech Electronics and Communication Engineering, B.Tech Electronics and Communication Engineering and MBA, B.Tech Energy Power and MBA, B.Tech Information Technology, B.Tech Information Technology and MBA, B.Tech Mechanical Engineering, B.Tech Mechanical Engineering and MBA, B.Tech Nanotechnology, B.Tech Nuclear Engineering, B.Tech Nuclear Engineering and MBA, B.Tech Petroleum Engineering, B.Tech Petroleum Engineering and MBA, Bachelor of Textile Technology, BBA, BBA and MBA Integrated, BBA LLB Integrated, BCA, BHM, BHMCT, BTTH, BTTM, Diploma in Air Hostess and Cabin Crew Flight Purser, Diploma in Civil Engineering, Diploma in Computer Engineering, Diploma in Dental Hygiene Technology, Diploma in Dental Mechanics Technology, Diploma in ECG Technology, Diploma in EEG Technology, Diploma in Electrical Engineering, Diploma in Electronics Engineering, Diploma in Emergency and Trauma Care Technology, Diploma in Endoscopy Technology, Diploma in Fashion Design, Diploma in Hospitality and Tourism Management, Diploma in Hotel Management, Diploma in Information Technology, Diploma in Labour Welfare, Diploma in Management, Diploma in Mechanical Engineering, Diploma in Medical Lab Technology, Diploma in Medico Legal Ethics, Diploma in Ophthalmic Technology, Diploma in Perfusion Technology, Diploma in Petroleum Engineering, Diploma in Television and Film Production, Diploma in TMT Technology, Diploma in X-Ray Technology, GNM, M.Optom, M.Sc Medical Lab Technology, M.Sc Medical Lab Technology Biochemistry, M.Sc Medical Lab Technology Microbiology, M.Sc Medical Lab Technology Pathology, M.Sc Radiation and Imaging Technology, MBA, B.Arch, B.Lib.I.Sc, B.Sc, B.Sc Aviation Management, B.Sc Computer Science, B.Sc Information Technology, BA, BA Anthropology Hons, BA Economics Hons, BA Education Hons, BA English Hons, BA Geography Hons, BA Hindi Hons, BA History Hons, BA Journalism, BA Physical Education Hons, BA Political Science Hons, BA Psychology Hons, BA Public Administration Hons, BA Sociology Hons, BOT, BPT, BSW, LLM, M.Sc Biochemistry, M.Sc Biotechnology, M.Sc Botany, M.Sc Chemistry, M.Sc Environmental Science, M.Sc Fashion Design, M.Sc Genetics, M.Sc Industrial Nanoscience, M.Sc Mathematics, M.Sc Microbiology, M.Sc Physics, M.Sc Television and Film Production, M.Sc Zoology, MA Fashion Design, MA Journalism, MCA, MCA Integrated, MPT Musculoskeletal, MTTH, PG Diploma in Television and Film Production, PGDCA, PGDM, Pharm.D, Post Graduate Diploma in Hotel Management, Diploma in Blood Bank Technology, Diploma in Dialysis Technology, Diploma in Operation Theatre Technology, Diploma in Cath Lab Technology, B.Com, B.Com Hons, BFA, BPA, BVA, M.Com, M.Lib.I.Sc, M.Sc Anthropology, M.Sc Economics, M.Sc Home Science, MA Anthropology, MA Economics, MA Education, MA English, MA Geography, MA Hindi, MA History, MA Physical Education, MA Political Science, MA Psychology, MA Public Administration, MA Sociology, MSW, B.Tech and M.Tech Aerospace Engineering Integrated, M.Tech Aerospace Engineering, M.Tech Agricultural Engineering, M.Tech Applied Electronics and Instrumentation Engineering, M.Tech Automobile Engineering, M.Tech Computer Science and Engineering, M.Tech Electronics and Communication Engineering, M.Tech Information Technology, M.Tech Instrumentation and Control Engineering, M.Tech Mechanical Engineering, M.Tech Nanotechnology, M.Sc Medical Anatomy, M.Sc Medical Biochemistry, M.Sc Medical Microbiology, M.Sc Medical Pharmacology, M.Sc Medical Physiology, M.Sc Computer Science, M.Sc Information Technology, MFA, MPA, MVA, Pharm.D Post Baccalaureate, MD General Medicine, MS General Surgery, MD Anaesthesiology, MD Pediatrics, MDS Oral and Maxillofacial Surgery, MDS Oral Medicine and Radiology, MDS Orthodontics and Dentofacial Orthopedics, MDS Periodontology, MDS Prosthodontics and Crown and Bridge, MS Obstetrics and Gynaecology, MS Ophthalmology, MD Anatomy, MD Dermatology Venereology and Leprosy, MD Microbiology, MD Pathology, MD Pharmacology, MD Physiology, MD Social Preventive and Community Medicine, MDS Conservative Dentistry and Endodontics, MDS Oral Pathology and Microbiology, MDS Paedodontics and Preventive Dentistry, MDS Preventive and Community Dentistry, MS ENT, MS Orthopaedics, DM Gastroenterology, M.Ch Neuro Surgery, M.Ch Urology, MD Biochemistry, MD Forensic Medicine, MD Psychiatry, MD Radiodiagnosis, MD Tuberculosis and Respiratory Diseases and Pulmonary Medicine, B.Sc Integrated, B.Tech and M.Tech Agricultural Engineering Integrated, B.Tech and M.Tech Applied Electronics and Instrumentation Engineering Integrated, B.Tech and M.Tech Automobile Engineering Integrated, B.Tech and M.Tech Biotechnology Engineering Integrated, B.Tech and M.Tech Chemical Engineering Integrated, B.Tech and M.Tech Civil Engineering Integrated, B.Tech and M.Tech Computer Science and Engineering Integrated, B.Tech and M.Tech Electrical Engineering Integrated, B.Tech and M.Tech Electronics and Communication Engineering Integrated, B.Tech and M.Tech Information Technology Integrated, B.Tech and M.Tech Mechanical Engineering and Automation Integrated, B.Tech and M.Tech Nanotechnology, B.Tech and M.Tech Nuclear Engineering Integrated, B.Tech and M.Tech Petroleum Engineering Integrated, D.Pharma, Diploma in Industrial Legislation, M.Pharma, M.Phil Biochemistry, M.Phil Biotechnology, M.Phil Botany, M.Phil Chemistry, M.Phil Commerce, M.Phil Environmental Science, M.Phil Genetics, M.Phil Geography, M.Phil Library and Information Science, M.Phil Mathematics, M.Phil Media and Mass, M.Phil Physics, M.Phil Political Science, M.Phil Psychology, M.Phil Sociology, M.Phil Zoology, M.Sc Aviation Management, M.Sc Integrated, MHM, MHMCT, Ph.D Aerospace Engineering, Ph.D Agricultural Engineering, Ph.D Applied Electronics and Instrumentation Engineering, Ph.D Automobile Engineering, Ph.D Biochemistry, Ph.D Biotechnology Engineering, Ph.D Botany, Ph.D Chemical Engineering, Ph.D Chemistry, Ph.D Civil Engineering, Ph.D Commerce, Ph.D Computer Science and Engineering, Ph.D Dentistry, Ph.D Economics, Ph.D Electrical Engineering, Ph.D Electronics and Communication Engineering, Ph.D Energy and Power Engineering, Ph.D English, Ph.D Environmental Science, Ph.D Genetic Engineering, Ph.D Geography, Ph.D Hindi, Ph.D History, Ph.D Home Science, Ph.D Information Technology, Ph.D Law, Ph.D Library and Information Science, Ph.D Management, Ph.D Management Studies, Ph.D Mathematics, Ph.D Mechanical Engineering, Ph.D Media and Mass Communication, Ph.D Medical Anatomy",561898.1481,,2.54,,,engineering_india,Jaipur,Private
Kiet School Of Engineering,Uttar Pradesh,"B.Tech Computer Science Engineering, B.Tech Electrical and Electronics Engineering, B.Tech Electronics and Communication Engineering, B.Tech Information Technology, B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Computer Science, B.Tech Computer Science and Information Technology, MCA, B.Tech Electronics and Instrumentation Engineering, M.Tech Computer Science Engineering, M.Tech Electrical and Electronics Engineering, M.Tech Electronics and Communication Engineering, M.Tech Mechanical Engineering",453928.5714,,,,,engineering_india,Muradnagar,Private
Government College Of Engineering And Leather Technology,West Bengal,"B.Tech Computer Science and Engineering, B.Tech Information Technology, B.Tech Leather Technology, M.Tech Leather Technology, B.Tech Footwear Technology",54875,,,,,engineering_india,Kolkata,Public/Government
Rvr And Jc College Of Engineering,Andhra Pradesh,"B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical and Electronics Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, B.Tech Information Technology, MBA, B.Tech Chemical Engineering, B.Tech Computer Science and Business System, MCA, M.Tech Communication and Signal Processing, M.Tech Computer Science and Engineering, M.Tech Computer Science and Technology, M.Tech Machine Design, M.Tech Power Systems, M.Tech Structural Engineering",304200,,3.19,,,engineering_india,Guntur,Private
Maharishi Markandeshwar Deemed To Be University,Haryana,"B.Tech Computer Science and Engineering, MBBS, B.Tech Mechanical Engineering, BBA LLB Integrated, MBA, B.Pharma, BDS, B.Com LLB Integrated, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechatronics Engineering, BA LLB Integrated, BHMCT, B.Sc Nursing, B.Tech Biotechnology Engineering, B.Tech Electrical Engineering, B.Tech Information Technology, MCA, MCA, Pharma.D, Post Basic B.Sc Nursing, MD General Medicine, M.Tech Biotechnology Engineering, M.Tech CAD CAM Engineering, M.Tech Computer Science and Engineering, M.Tech Electrical Engineering, M.Tech Electronics and Communication Engineering, M.Tech Manufacturing Systems Engineering, MS General Surgery, M.Pharma Pharmaceutical Chemistry, MD Radiodiagnosis, MD Anaesthesiology, MD Pathology, Pharma.D Post Baccalaureate, MS Obstetrics and Gynaecology, MD Pediatrics, MS Orthopaedics, M.Pharma Pharmaceutical Quality Assurance, M.Pharma Pharmaceutics, M.Pharma Pharmacology, M.Sc Community Health Nursing, M.Sc Medical Surgical Nursing, M.Sc Obstetrics and Gynaecology Nursing, M.Sc Paediatric Nursing, M.Sc Psychiatric Nursing, MDS Conservative Dentistry and Endodontics, MDS Oral and Maxillofacial Surgery, MDS Orthodontics, MDS Paedodontics and Preventive Dentistry, MDS Prosthodontics, MD Community Medicine, MD Physiology, MDS Periodontics, MDS Periodontology and Oral Implantology, MD Anatomy, MD Dermatology, Venereology and Leprosy, MD Tuberculosis and Respiratory Diseases, MS ENT, MS Ophthalmology, Post Graduate Diploma in Anaesthesiology, MD Biochemistry, MD Forensic Medicine, MD Microbiology, MD Pharmacology, MD Psychiatry, MDS Community Dentistry, MDS Oral Medicine and Radiology, MDS Oral Pathology, MDS Public Health Dentistry, PG Diploma in Obstetrics and Gynaecology, DM Cardiology, DM Medical Gastroenterology, M.Ch Neurosurgery, M.Ch Urology, MD Radiotherapy, Post Graduate Diploma in Orthopaedics, Post Graduate Diploma in Paediatrics, Post Graduate Diploma in Radiodiagnosis, B.Com Hons, B.Pharma Lateral Entry, B.Sc Agribusiness Management Hons, B.Sc Biotechnology, B.Sc Cardiovascular Technology, B.Sc Chemistry Hons, B.Sc Dialysis Therapy, B.Sc Food Science and Technology, B.Sc Food Science Technology, B.Sc Home Science, B.Sc Hospitality and Catering Management, B.Sc Hospitality Catering Management, B.Sc Medical, B.Sc Medical Lab Technology, B.Sc Medical Lab Technology Lateral Entry, B.Sc Non Medical, B.Sc Operation Theatre Technician, B.Sc Optometry, B.Sc Radiography and Imaging Technology, B.Sc Radiotherapy, B.Sc Respiratory Therapy, B.Tech Biotechnology Engineering Lateral Entry, B.Tech Civil Engineering Lateral Entry, B.Tech Computer Engineering, B.Tech Computer Science and Engineering Lateral Entry, B.Tech Computer Science and Engineering with Specialization in Software Development Programme American Pattern, B.Tech Electrical Engineering Lateral Entry, B.Tech Electronics and Communication Engineering Lateral Entry, B.Tech Mechanical Engineering Lateral Entry, B.Tech Mechanical Engineering Specialization in Automobile Engineering and Mechatronics, BASLP, BBA, BBA Lateral Entry, BCA, BCA, BCA Lateral Entry, BCA MCA Integrated, BHMCT, BPT, Diploma in Airlines Tourism and Hospitality Management, Diploma in Airlines Tourism and Hospitality Management, Diploma in Bakery and Confectionary, Diploma in Bakery and Confectionery, Diploma in Business Management, Diploma in Dental Hygienist, Diploma in Dental Mechanics, Diploma in Food Production, Diploma in Food Production, Diploma in Health and Fitness Nutrition, Diploma in Health and Fitness Nutrition, Diploma in Room Division Management, Diploma in Room Division Management, DMLT, LLM, M.Optom, M.Sc Biotechnology, M.Sc Botany, M.Sc Chemistry, M.Sc Dietetics and Nutrition, M.Sc Dietetics and Nutrition, M.Sc Mathematics, M.Sc Medical Anatomy, M.Sc Medical Biochemistry, M.Sc Medical Microbiology, M.Sc Medical Pharmacology, M.Sc Medical Physiology, M.Sc Medical Radio Imaging, M.Sc Microbiology, M.Sc MLT, M.Sc Nurse Practitioner Critical care, M.Sc Operation Theatre Technician, M.Sc Pharmaceutical Chemistry, M.Sc Physics, M.Tech Environmental Engineering, M.Tech Structural Engineering, MCA Lateral Entry, MPT Cardiopulmonary Physiotherapy, MPT Cardiothoracic Disorders, MPT Musculoskeletal Disorders, MPT Neurological Disorders, MPT Neurophysiotherapy, MPT Ortho Physiotherapy, MPT Paediatrics Physiotherapy, MPT Pediatric Disorders, MPT Sports Injuries, MPT Sports Physiotherapy, Ph.D Anatomy, Ph.D Biochemistry, Ph.D Biotechnology, Ph.D Chemistry, Ph.D Civil Engineering, Ph.D Community Health and Public Health, Ph.D Computer Science and Applications, Ph.D Computer Science Engineering and Information Technology, Ph.D Electrical Engineering, Ph.D Electronics and Communication Engineering, Ph.D Finance, Ph.D Human Resource Management, Ph.D Humanities and Social Sciences, Ph.D Marketing, Ph.D Mathematics, Ph.D Mechanical Engineering, Ph.D Microbiology, Ph.D Pediatric and Preventive Dentistry, Ph.D Pharmaceutical Chemistry, Ph.D Pharmaceutics, Ph.D Pharmacognosy, Ph.D Pharmacology, Ph.D Pharmacy Practice, Ph.D Physics, Ph.D Physiology, Ph.D Physiotherapy, Ph.D Quality Assurance",1162987.681,,3.06,,,engineering_india,Mullana,Private
Government College Of Engineering And Textile Technology,West Bengal,"B.Tech Textile Technology, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering, M.Tech Textile Engineering",32908,,,,,engineering_india,Murshidabad,Public/Government
Alagappa College Of Technology,Tamil Nadu,"B.Tech Ceramic Technology, B.Tech Chemical Engineering, B.Tech Chemical Engineering Part Time, B.Tech Industrial Biotechnology, B.Tech Textile Technology, B.Tech Textile Technology Part Time, M.Phil Chemistry, M.Phil English, M.Phil Geology, M.Phil Mathematics, M.Phil Physics, M.Tech Biotechnology, M.Tech Ceramic Technology, M.Tech Chemical Engineering, M.Tech Petroleum Refining and Petrochemicals, M.Tech Textile Technology, M.Tech Textile Technology Part Time, MS by Research Biotechnology Engineering, MS by Research Ceramic Technology, MS by Research Chemical Engineering, MS by Research Chemistry, MS by Research English, MS by Research Mathematics, MS by Research Petroleum Refining and Petrochemicals, MS by Research Physics, MS by Research Textile Technology, Ph.D Biotechnology Engineering, Ph.D Ceramic Technology, Ph.D Chemical Engineering, Ph.D Chemistry, Ph.D English, Ph.D Mathematics, Ph.D Petroleum Refining and Petrochemicals, Ph.D Physics, Ph.D Textile Technology",128000,,,,,engineering_india,Chennai,Public/Government
Central Institute Of Plastics Engineering And Technology,Uttar Pradesh,"Diploma in Plastics Mould Technology, Diploma in Plastics Processing and Testing, Diploma in Plastics Technology, B.Tech Manufacturing Technology, B.Tech Plastics Engineering, M.Tech Plastics Engineering, B.Tech Materials Science and Technology, Ph.D Plastics Engineering",179411.4286,,,,,engineering_india,Lucknow,Public/Government
Indian Agricultural Research Institute,Delhi,"Ph.D Genetics and Plant Breeding, Ph.D Agronomy, Ph.D Vegetable Science, Ph.D Agricultural Engineering, Ph.D Plant Pathology, Ph.D Soil Science and Agricultural Chemistry, Ph.D Agricultural Statistics, Ph.D Molecular Biology and Biotechnology, Ph.D Agricultural Extension, Ph.D Water Science and Technology, Ph.D Agricultural Chemicals, Ph.D Computer Applications, Ph.D Environmental Sciences, Ph.D Microbiology, Ph.D Plant Physiology, Ph.D Seed Science and Technology, Ph.D Agricultural Economics, Ph.D Agricultural Physics, Ph.D Biochemistry, Ph.D Bioinformatics, Ph.D Entomology, Ph.D Fruit Science, Ph.D Plant Genetic Resources, Ph.D Floriculture and Landscape Architecture, Ph.D Nematology, M.Sc Agricultural Chemicals, M.Sc Agricultural Extension, M.Sc Agricultural Physics, M.Sc Agricultural Statistics, M.Sc Agronomy, M.Sc Biochemistry, M.Sc Bioinformatics, M.Sc Computer Application, M.Sc Entomology, M.Sc Environmental Sciences, M.Sc Floriculture and Landscape Architecture, M.Sc Fruit Science, M.Sc Genetics and Plant Breeding, M.Sc Horticulture, M.Sc Microbiology, M.Sc Molecular Biology and Biotechnology, M.Sc Nematology, M.Sc Plant Genetic Resources, M.Sc Plant Physiology, M.Sc Seed Science and Technology, M.Sc Soil Science and Agricultural Chemistry, M.Sc Vegetable Science, M.Tech Agricultural Engineering, M.Tech Food Science and Post Harvest Technology, M.Tech Water Science and Technology, Ph.D Food Science and Post Harvest Technology",28350,,3.51,,,engineering_india,New Delhi,Public/Government
College Of Technology And Engineering,Rajasthan,"B.Tech Information Technology, B.Tech Agricultural Engineering, B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering, M.Tech Agricultural Engineering, B.Tech Mining Engineering, M.Tech Civil Engineering, M.Tech Computer Science and Engineering, M.Tech Electrical Engineering, M.Tech Electronics and Communications Engineering, M.Tech Mechanical Engineering, M.Tech Mining Engineering, Ph.D Computer Science and Engineering, Ph.D Electronics and Communication Engineering, Ph.D Mechanical Engineering, Ph.D Mining Engineering, Ph.D Electrical Engineering, Ph.D Agricultural Engineering",156203.3333,,,,,engineering_india,Udaipur,Public/Government
University Institute Of Technology,West Bengal,"B.Tech Information Technology, BE Applied Electronics and Instrumentation Engineering, BE Civil Engineering, BE Computer Science and Engineering, BE Electrical Engineering, BE Electronics and Communication Engineering, ME Computer Science and Engineering, ME Electronics and Instrumentation Engineering",207825,,,,,engineering_india,Burdwan,Public/Government
