job_title,education_level,years_experience,salary,country,company,location,job_roles
Hr Generalist,2.0,8.0,95000.0,UK,,,
Hr Generalist,0.0,1.0,32000.0,Australia,,,
Web Developer,1.0,5.0,70000.0,UK,,,
Director Of Hr,2.0,12.0,120000.0,Australia,,,
Human Resources Manager,2.0,4.0,70000.0,UK,,,
Web Developer,2.0,7.0,85000.0,Australia,,,
Hr Coordinator,0.0,2.0,33000.0,USA,,,
Human Resources Manager,3.0,15.0,150000.0,Canada,,,
Web Developer,1.0,3.0,50000.0,China,,,
Hr Generalist,2.0,1.0,32000.0,USA,,,
Director Of Hr,3.0,11.0,115000.0,China,,,
Web Developer,1.0,1.0,40000.0,China,,,
Hr Generalist,2.0,10.0,105000.0,Australia,,,
Hr Generalist,0.0,2.0,35000.0,Australia,,,
Director Of Hr,3.0,13.0,135000.0,UK,,,
Web Developer,1.0,4.0,65000.0,Canada,,,
Human Resources Manager,2.0,6.0,80000.0,Australia,,,
Director Of Hr,3.0,14.0,140000.0,USA,,,
Web Developer,1.0,2.0,45000.0,Australia,,,
Hr Generalist,2.0,8.0,95000.0,USA,,,
Hr Generalist,0.0,1.0,32000.0,China,,,
Web Developer,1.0,5.0,70000.0,Canada,,,
Director Of Hr,2.0,12.0,120000.0,China,,,
Human Resources Manager,2.0,4.0,70000.0,Canada,,,
Web Developer,2.0,7.0,85000.0,USA,,,
Hr Coordinator,0.0,2.0,33000.0,UK,,,
Human Resources Manager,3.0,15.0,150000.0,UK,,,
Web Developer,1.0,3.0,50000.0,Australia,,,
Hr Generalist,2.0,1.0,32000.0,Canada,,,
Director Of Hr,3.0,11.0,115000.0,Canada,,,
Web Developer,1.0,2.0,45000.0,China,,,
Hr Generalist,0.0,1.0,32000.0,China,,,
Human Resources Manager,3.0,12.0,120000.0,Canada,,,
Web Developer,2.0,4.0,65000.0,China,,,
Hr Generalist,1.0,8.0,95000.0,UK,,,
Director Of Hr,2.0,5.0,80000.0,UK,,,
Hr Coordinator,0.0,3.0,38000.0,UK,,,
Web Developer,2.0,10.0,110000.0,UK,,,
Web Developer,1.0,2.0,45000.0,USA,,,
Hr Generalist,2.0,7.0,89000.0,UK,,,
Hr Generalist,0.0,1.0,32000.0,Australia,,,
Web Developer,1.0,5.0,70000.0,Australia,,,
Director Of Hr,3.0,15.0,150000.0,UK,,,
Web Developer,1.0,1.0,40000.0,Canada,,,
Human Resources Manager,2.0,9.0,105000.0,China,,,
Web Developer,2.0,4.0,65000.0,Australia,,,
Director Of Hr,3.0,14.0,140000.0,China,,,
Web Developer,1.0,3.0,50000.0,USA,,,
Hr Generalist,0.0,2.0,35000.0,UK,,,
Hr Generalist,2.0,11.0,115000.0,USA,,,
Web Developer,2.0,5.0,70000.0,Australia,,,
Web Developer,1.0,6.0,80000.0,Australia,,,
Hr Coordinator,0.0,1.0,30000.0,China,,,
Director Of Hr,3.0,13.0,135000.0,USA,,,
Web Developer,1.0,1.0,40000.0,USA,,,
Hr Generalist,2.0,10.0,105000.0,UK,,,
Hr Generalist,0.0,2.0,35000.0,China,,,
Human Resources Manager,3.0,12.0,120000.0,Australia,,,
Web Developer,2.0,3.0,55000.0,Canada,,,
Web Developer,1.0,2.0,45000.0,USA,,,
Director Of Hr,2.0,14.0,140000.0,UK,,,
Web Developer,1.0,3.0,55000.0,Canada,,,
Human Resources Manager,3.0,11.0,115000.0,China,,,
Hr Generalist,2.0,4.0,70000.0,USA,,,
Hr Coordinator,0.0,3.0,38000.0,China,,,
Director Of Hr,2.0,13.0,135000.0,USA,,,
Web Developer,1.0,2.0,45000.0,Canada,,,
Web Developer,2.0,7.0,85000.0,UK,,,
Hr Generalist,0.0,1.0,32000.0,China,,,
Human Resources Manager,3.0,15.0,150000.0,Canada,,,
Web Developer,1.0,4.0,65000.0,USA,,,
Hr Generalist,2.0,1.0,32000.0,Australia,,,
Director Of Hr,3.0,12.0,120000.0,Australia,,,
Web Developer,1.0,1.0,40000.0,UK,,,
Hr Generalist,2.0,9.0,95000.0,Canada,,,
Hr Generalist,0.0,2.0,35000.0,Canada,,,
Director Of Hr,3.0,14.0,140000.0,USA,,,
Web Developer,1.0,3.0,55000.0,UK,,,
Human Resources Manager,2.0,6.0,80000.0,Canada,,,
Director Of Hr,3.0,13.0,135000.0,China,,,
Web Developer,1.0,2.0,45000.0,UK,,,
Hr Generalist,2.0,8.0,95000.0,Australia,,,
Hr Generalist,0.0,1.0,32000.0,UK,,,
Web Developer,1.0,5.0,70000.0,Canada,,,
Director Of Hr,2.0,12.0,120000.0,USA,,,
Human Resources Manager,2.0,4.0,70000.0,China,,,
Web Developer,2.0,7.0,85000.0,China,,,
Hr Coordinator,0.0,2.0,33000.0,UK,,,
Human Resources Manager,3.0,15.0,150000.0,USA,,,
Web Developer,1.0,3.0,50000.0,China,,,
Hr Generalist,2.0,1.0,32000.0,USA,,,
Director Of Hr,3.0,11.0,115000.0,USA,,,
Web Developer,1.0,1.0,40000.0,China,,,
Hr Generalist,2.0,10.0,105000.0,USA,,,
Hr Generalist,0.0,2.0,35000.0,Australia,,,
Director Of Hr,3.0,13.0,135000.0,USA,,,
Web Developer,1.0,4.0,65000.0,Canada,,,
Human Resources Manager,2.0,6.0,80000.0,Canada,,,
Director Of Hr,3.0,14.0,140000.0,Australia,,,
Web Developer,1.0,2.0,45000.0,Australia,,,
Hr Generalist,2.0,8.0,95000.0,USA,,,
Hr Generalist,0.0,1.0,32000.0,Australia,,,
Web Developer,1.0,5.0,70000.0,UK,,,
Director Of Hr,2.0,12.0,120000.0,Canada,,,
Human Resources Manager,2.0,4.0,70000.0,UK,,,
Web Developer,2.0,7.0,85000.0,Australia,,,
Hr Coordinator,0.0,2.0,33000.0,Australia,,,
Human Resources Manager,3.0,15.0,150000.0,Australia,,,
Web Developer,1.0,3.0,50000.0,Australia,,,
Hr Generalist,2.0,1.0,32000.0,Canada,,,
Director Of Hr,3.0,11.0,115000.0,Australia,,,
Web Developer,1.0,1.0,40000.0,Canada,,,
Hr Generalist,2.0,10.0,105000.0,Australia,,,
Hr Generalist,0.0,2.0,35000.0,Canada,,,
Director Of Hr,3.0,13.0,135000.0,China,,,
Web Developer,1.0,4.0,65000.0,USA,,,
Human Resources Manager,2.0,6.0,80000.0,China,,,
Director Of Hr,3.0,14.0,140000.0,China,,,
Web Developer,1.0,2.0,45000.0,Australia,,,
Hr Generalist,2.0,8.0,95000.0,UK,,,
Hr Generalist,0.0,1.0,32000.0,USA,,,
Web Developer,1.0,5.0,70000.0,Australia,,,
Director Of Hr,2.0,12.0,120000.0,USA,,,
Human Resources Manager,2.0,4.0,70000.0,UK,,,
Web Developer,2.0,7.0,85000.0,UK,,,
Hr Coordinator,0.0,2.0,33000.0,Canada,,,
Human Resources Manager,3.0,15.0,150000.0,USA,,,
Web Developer,1.0,3.0,50000.0,UK,,,
Hr Generalist,2.0,1.0,32000.0,Canada,,,
Director Of Hr,3.0,11.0,115000.0,China,,,
Web Developer,1.0,1.0,40000.0,China,,,
Hr Generalist,2.0,10.0,105000.0,China,,,
Hr Generalist,0.0,2.0,35000.0,China,,,
Director Of Hr,3.0,13.0,135000.0,UK,,,
Web Developer,1.0,4.0,65000.0,UK,,,
Human Resources Manager,2.0,6.0,80000.0,Australia,,,
Director Of Hr,3.0,14.0,140000.0,USA,,,
Web Developer,1.0,2.0,45000.0,UK,,,
Hr Generalist,2.0,8.0,95000.0,Australia,,,
Hr Generalist,0.0,1.0,32000.0,UK,,,
Web Developer,1.0,5.0,70000.0,China,,,
Director Of Hr,2.0,12.0,120000.0,China,,,
Human Resources Manager,2.0,4.0,70000.0,USA,,,
Web Developer,2.0,7.0,85000.0,USA,,,
Hr Coordinator,0.0,2.0,33000.0,Canada,,,
Human Resources Manager,3.0,15.0,150000.0,USA,,,
Web Developer,1.0,3.0,50000.0,UK,,,
Hr Generalist,2.0,1.0,32000.0,UK,,,
Director Of Hr,3.0,11.0,115000.0,Australia,,,
Software Engineer,1.0,3.0,60000.0,China,,,
Marketing Manager,2.0,9.0,100000.0,China,,,
Data Scientist,3.0,15.0,150000.0,Canada,,,
Human Resources Coordinator,1.0,4.0,55000.0,China,,,
Sales Associate,0.0,1.0,30000.0,China,,,
Software Developer,2.0,5.0,70000.0,UK,,,
Operations Manager,1.0,8.0,90000.0,UK,,,
Marketing Coordinator,2.0,2.0,40000.0,Canada,,,
Data Scientist,3.0,12.0,130000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,China,,,
Marketing Manager,2.0,10.0,110000.0,Canada,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,China,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,China,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,1.0,30000.0,USA,,,
Data Scientist,3.0,16.0,160000.0,USA,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Marketing Coordinator,2.0,8.0,85000.0,China,,,
Operations Manager,1.0,5.0,70000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,13.0,140000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,2.0,35000.0,China,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,China,,,
Human Resources Manager,2.0,11.0,120000.0,China,,,
Operations Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,1.0,30000.0,USA,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,8.0,85000.0,USA,,,
Operations Manager,1.0,5.0,70000.0,UK,,,
Human Resources Coordinator,2.0,3.0,50000.0,Canada,,,
Data Scientist,3.0,13.0,140000.0,China,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,Australia,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,UK,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,1.0,30000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,Canada,,,
Marketing Coordinator,2.0,8.0,85000.0,China,,,
Operations Manager,1.0,5.0,70000.0,UK,,,
Human Resources Coordinator,2.0,3.0,50000.0,China,,,
Data Scientist,3.0,13.0,140000.0,China,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,35000.0,UK,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,USA,,,
Human Resources Manager,2.0,11.0,120000.0,Australia,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,1.0,30000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Marketing Coordinator,2.0,8.0,85000.0,China,,,
Operations Manager,1.0,5.0,70000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,UK,,,
Data Scientist,3.0,13.0,140000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,USA,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,Australia,,,
Operations Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,1.0,30000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,USA,,,
Marketing Coordinator,2.0,8.0,85000.0,Canada,,,
Operations Manager,1.0,5.0,70000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,13.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,2.0,35000.0,UK,,,
Marketing Manager,2.0,10.0,110000.0,China,,,
Software Engineer,1.0,4.0,65000.0,UK,,,
Data Scientist,3.0,18.0,180000.0,China,,,
Software Developer,1.0,1.0,35000.0,USA,,,
Human Resources Manager,2.0,11.0,120000.0,Canada,,,
Operations Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,1.0,30000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,China,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Marketing Coordinator,2.0,8.0,85000.0,Canada,,,
Operations Manager,1.0,5.0,70000.0,USA,,,
Human Resources Coordinator,2.0,3.0,50000.0,Canada,,,
Data Scientist,3.0,13.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,China,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,UK,,,
Human Resources Manager,2.0,11.0,120000.0,Canada,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,1.0,30000.0,China,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,USA,,,
Marketing Coordinator,2.0,8.0,85000.0,Australia,,,
Operations Manager,1.0,5.0,70000.0,Canada,,,
Human Resources Coordinator,2.0,3.0,50000.0,UK,,,
Data Scientist,3.0,13.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,UK,,,
Marketing Manager,2.0,10.0,110000.0,Australia,,,
Software Engineer,1.0,4.0,65000.0,Australia,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,Canada,,,
Human Resources Manager,2.0,11.0,120000.0,China,,,
Operations Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,1.0,30000.0,UK,,,
Data Scientist,3.0,16.0,160000.0,UK,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Software Engineer,1.0,3.0,60000.0,UK,,,
Marketing Manager,2.0,9.0,100000.0,UK,,,
Data Scientist,3.0,15.0,150000.0,USA,,,
Human Resources Coordinator,1.0,4.0,55000.0,Canada,,,
Sales Associate,0.0,1.0,30000.0,Canada,,,
Software Developer,2.0,5.0,70000.0,China,,,
Operations Manager,1.0,8.0,90000.0,China,,,
Marketing Coordinator,2.0,2.0,40000.0,Canada,,,
Data Scientist,3.0,12.0,130000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,China,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,USA,,,
Human Resources Manager,2.0,11.0,120000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,1.0,30000.0,USA,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,Canada,,,
Marketing Coordinator,2.0,8.0,85000.0,UK,,,
Operations Manager,1.0,5.0,70000.0,USA,,,
Human Resources Coordinator,2.0,3.0,50000.0,USA,,,
Data Scientist,3.0,13.0,140000.0,UK,,,
Human Resources Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,2.0,35000.0,China,,,
Marketing Manager,2.0,10.0,110000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,1.0,30000.0,China,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,UK,,,
Marketing Coordinator,2.0,8.0,85000.0,USA,,,
Operations Manager,1.0,5.0,70000.0,USA,,,
Human Resources Coordinator,2.0,3.0,50000.0,UK,,,
Data Scientist,3.0,13.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,2.0,35000.0,USA,,,
Marketing Manager,2.0,10.0,110000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,UK,,,
Data Scientist,3.0,18.0,180000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,China,,,
Human Resources Manager,2.0,11.0,120000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,1.0,30000.0,China,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,8.0,85000.0,China,,,
Operations Manager,1.0,5.0,70000.0,UK,,,
Human Resources Coordinator,2.0,3.0,50000.0,USA,,,
Data Scientist,3.0,13.0,140000.0,UK,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,USA,,,
Marketing Manager,2.0,10.0,110000.0,Australia,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,Canada,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,1.0,30000.0,China,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,8.0,85000.0,Canada,,,
Operations Manager,1.0,5.0,70000.0,Canada,,,
Human Resources Coordinator,2.0,3.0,50000.0,China,,,
Data Scientist,3.0,13.0,140000.0,UK,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,Australia,,,
Data Scientist,3.0,18.0,180000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,USA,,,
Human Resources Manager,2.0,11.0,120000.0,Canada,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,1.0,30000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,Canada,,,
Marketing Coordinator,2.0,8.0,85000.0,UK,,,
Operations Manager,1.0,5.0,70000.0,Australia,,,
Human Resources Coordinator,2.0,3.0,50000.0,USA,,,
Data Scientist,3.0,13.0,140000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,35000.0,Canada,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,UK,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,UK,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,1.0,30000.0,UK,,,
Data Scientist,3.0,16.0,160000.0,UK,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,8.0,85000.0,China,,,
Operations Manager,1.0,5.0,70000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,Canada,,,
Data Scientist,3.0,13.0,140000.0,Canada,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,35000.0,Australia,,,
Marketing Manager,2.0,10.0,110000.0,Canada,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,18.0,180000.0,UK,,,
Software Developer,1.0,1.0,35000.0,Canada,,,
Human Resources Manager,2.0,11.0,120000.0,China,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,1.0,30000.0,USA,,,
Data Scientist,3.0,16.0,160000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,UK,,,
Marketing Coordinator,2.0,8.0,85000.0,UK,,,
Operations Manager,1.0,5.0,70000.0,UK,,,
Human Resources Coordinator,2.0,3.0,50000.0,China,,,
Data Scientist,3.0,13.0,140000.0,Canada,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,35000.0,UK,,,
Marketing Manager,2.0,10.0,110000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,18.0,180000.0,China,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,11.0,120000.0,Australia,,,
Operations Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,1.0,30000.0,Canada,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,China,,,
Software Engineer,1.0,2.0,55000.0,Canada,,,
Marketing Manager,2.0,7.0,90000.0,UK,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Human Resources Coordinator,1.0,4.0,60000.0,Canada,,,
Sales Associate,0.0,1.0,25000.0,USA,,,
Software Developer,2.0,5.0,70000.0,Australia,,,
Operations Manager,1.0,8.0,100000.0,Australia,,,
Marketing Coordinator,1.0,3.0,45000.0,UK,,,
Data Scientist,3.0,14.0,140000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,30000.0,USA,,,
Marketing Manager,2.0,11.0,120000.0,Canada,,,
Software Engineer,1.0,4.0,65000.0,Canada,,,
Data Scientist,3.0,19.0,190000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,China,,,
Human Resources Manager,2.0,12.0,130000.0,China,,,
Operations Manager,1.0,7.0,85000.0,Australia,,,
Sales Associate,0.0,1.0,25000.0,Australia,,,
Data Scientist,3.0,15.0,150000.0,China,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Marketing Coordinator,2.0,9.0,100000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,Canada,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,14.0,140000.0,China,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,30000.0,China,,,
Marketing Manager,2.0,11.0,120000.0,UK,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,19.0,190000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,12.0,130000.0,China,,,
Operations Manager,1.0,7.0,85000.0,UK,,,
Sales Associate,0.0,1.0,25000.0,Australia,,,
Data Scientist,3.0,15.0,150000.0,Canada,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,9.0,100000.0,China,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Human Resources Coordinator,2.0,3.0,50000.0,USA,,,
Data Scientist,3.0,14.0,140000.0,Canada,,,
Human Resources Manager,1.0,6.0,75000.0,Australia,,,
Sales Associate,0.0,2.0,30000.0,USA,,,
Marketing Manager,2.0,11.0,120000.0,China,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,19.0,190000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,12.0,130000.0,China,,,
Operations Manager,1.0,7.0,85000.0,Canada,,,
Sales Associate,0.0,1.0,25000.0,Canada,,,
Data Scientist,3.0,15.0,150000.0,China,,,
Software Developer,1.0,3.0,60000.0,USA,,,
Marketing Coordinator,2.0,9.0,100000.0,UK,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,Canada,,,
Data Scientist,3.0,14.0,140000.0,Canada,,,
Human Resources Manager,1.0,6.0,75000.0,USA,,,
Sales Associate,0.0,2.0,30000.0,Australia,,,
Marketing Manager,2.0,11.0,120000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,UK,,,
Data Scientist,3.0,19.0,190000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,USA,,,
Human Resources Manager,2.0,12.0,130000.0,UK,,,
Operations Manager,1.0,7.0,85000.0,Canada,,,
Sales Associate,0.0,1.0,25000.0,UK,,,
Data Scientist,3.0,15.0,150000.0,USA,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,9.0,100000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,Australia,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,14.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,Canada,,,
Sales Associate,0.0,2.0,30000.0,Australia,,,
Marketing Manager,2.0,11.0,120000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,UK,,,
Data Scientist,3.0,19.0,190000.0,Canada,,,
Software Developer,1.0,1.0,35000.0,Canada,,,
Human Resources Manager,2.0,12.0,130000.0,China,,,
Operations Manager,1.0,7.0,85000.0,USA,,,
Sales Associate,0.0,1.0,25000.0,Australia,,,
Data Scientist,3.0,15.0,150000.0,USA,,,
Software Developer,1.0,3.0,60000.0,Australia,,,
Marketing Coordinator,2.0,9.0,100000.0,Canada,,,
Operations Manager,1.0,6.0,75000.0,Australia,,,
Human Resources Coordinator,2.0,3.0,50000.0,USA,,,
Data Scientist,3.0,14.0,140000.0,Canada,,,
Human Resources Manager,1.0,6.0,75000.0,UK,,,
Sales Associate,0.0,2.0,30000.0,USA,,,
Marketing Manager,2.0,11.0,120000.0,China,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,19.0,190000.0,UK,,,
Software Developer,1.0,1.0,35000.0,UK,,,
Human Resources Manager,2.0,12.0,130000.0,USA,,,
Operations Manager,1.0,7.0,85000.0,UK,,,
Sales Associate,0.0,1.0,25000.0,USA,,,
Data Scientist,3.0,15.0,150000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,China,,,
Marketing Coordinator,2.0,9.0,100000.0,USA,,,
Operations Manager,1.0,6.0,75000.0,China,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,14.0,140000.0,Australia,,,
Human Resources Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,2.0,30000.0,UK,,,
Marketing Manager,2.0,11.0,120000.0,China,,,
Software Engineer,1.0,4.0,65000.0,China,,,
Data Scientist,3.0,19.0,190000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,Australia,,,
Human Resources Manager,2.0,12.0,130000.0,UK,,,
Operations Manager,1.0,7.0,85000.0,USA,,,
Sales Associate,0.0,1.0,25000.0,USA,,,
Data Scientist,3.0,15.0,150000.0,Australia,,,
Software Developer,1.0,3.0,60000.0,UK,,,
Marketing Coordinator,2.0,9.0,100000.0,China,,,
Operations Manager,1.0,6.0,75000.0,USA,,,
Human Resources Coordinator,2.0,3.0,50000.0,Australia,,,
Data Scientist,3.0,14.0,140000.0,USA,,,
Human Resources Manager,1.0,6.0,75000.0,China,,,
Sales Associate,0.0,2.0,30000.0,Canada,,,
Marketing Manager,2.0,11.0,120000.0,USA,,,
Software Engineer,1.0,4.0,65000.0,USA,,,
Data Scientist,3.0,19.0,190000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,Canada,,,
Human Resources Manager,2.0,12.0,130000.0,China,,,
Operations Manager,1.0,7.0,85000.0,Australia,,,
